package,module,total_time,parser_time,parser_percentage,size,extension
bytestring-0.12.1.0,Data.ByteString,2162.355,17.728,0.8198468799063984,75807,.hs
bytestring-0.12.1.0,Data.ByteString.Builder,201.082,1.941,0.9652778468485494,16442,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,371.996,1.987,0.5341455284465424,9954,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,70.309,1.189,1.691106401740887,7060,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,838.1709999999999,7.514,0.896475778808859,44095,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,532.0730000000001,2.983,0.5606373561522572,33829,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim.ASCII,234.472,2.808,1.197584359752977,7455,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim.Binary,75.68199999999999,1.538,2.032187310060517,6910,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim.Internal,114.691,3.091,2.695067616465111,10057,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim.Internal.Base16,18.547000000000004,1.033,5.569633903057096,1748,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.Prim.Internal.Floating,8.894,1.348,15.156285136046774,2659,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.RealFloat,393.3550000000001,1.82,0.46268637744531016,9472,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.RealFloat.D2S,233.14399999999998,2.506,1.0748721819991078,39428,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.RealFloat.F2S,161.65099999999998,2.423,1.4989081416137235,10425,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.RealFloat.Internal,538.8719999999998,6.948,1.2893599964370022,27349,.hs
bytestring-0.12.1.0,Data.ByteString.Builder.RealFloat.TableGenerator,169.877,1.406,0.827657658187983,6795,.hs
bytestring-0.12.1.0,Data.ByteString.Char8,1127.8590000000002,6.511,0.5772884731158769,32730,.hs
bytestring-0.12.1.0,Data.ByteString.Internal,2.7030000000000003,0.396,14.6503884572697,2665,.hs
bytestring-0.12.1.0,Data.ByteString.Internal.Type,943.994,12.379,1.3113430805704274,48273,.hs
bytestring-0.12.1.0,Data.ByteString.Lazy,1827.8809999999996,18.527,1.0135780173873465,65676,.hs
bytestring-0.12.1.0,Data.ByteString.Lazy.Char8,908.968,4.952,0.544793656102305,30359,.hs
bytestring-0.12.1.0,Data.ByteString.Lazy.Internal,291.658,3.071,1.0529455732398905,12339,.hs
