package,module,phase,time
QuickCheck-2.15.0.1,Test.QuickCheck,Called arity analysis,0.009
QuickCheck-2.15.0.1,Test.QuickCheck,CodeGen,1.189
QuickCheck-2.15.0.1,Test.QuickCheck,Common sub-expression,0.009
QuickCheck-2.15.0.1,Test.QuickCheck,Constructed Product Result analysis,0.013
QuickCheck-2.15.0.1,Test.QuickCheck,CorePrep,0.08499999999999999
QuickCheck-2.15.0.1,Test.QuickCheck,CoreTidy,0.063
QuickCheck-2.15.0.1,Test.QuickCheck,CoreToStg,0.131
QuickCheck-2.15.0.1,Test.QuickCheck,Demand analysis,0.046
QuickCheck-2.15.0.1,Test.QuickCheck,Desugar,0.219
QuickCheck-2.15.0.1,Test.QuickCheck,Exitification transformation,0.012
QuickCheck-2.15.0.1,Test.QuickCheck,Float inwards,0.016
QuickCheck-2.15.0.1,Test.QuickCheck,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.039
QuickCheck-2.15.0.1,Test.QuickCheck,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.027
QuickCheck-2.15.0.1,Test.QuickCheck,Parser,3.101
QuickCheck-2.15.0.1,Test.QuickCheck,Renamer/typechecker,1.458
QuickCheck-2.15.0.1,Test.QuickCheck,Simplifier,0.366
QuickCheck-2.15.0.1,Test.QuickCheck,Specialise,0.019
QuickCheck-2.15.0.1,Test.QuickCheck,Worker Wrapper binds,0.012
QuickCheck-2.15.0.1,Test.QuickCheck.All,Called arity analysis,0.018
QuickCheck-2.15.0.1,Test.QuickCheck.All,CodeGen,114.872
QuickCheck-2.15.0.1,Test.QuickCheck.All,Common sub-expression,0.015
QuickCheck-2.15.0.1,Test.QuickCheck.All,Constructed Product Result analysis,0.346
QuickCheck-2.15.0.1,Test.QuickCheck.All,CorePrep,1.391
QuickCheck-2.15.0.1,Test.QuickCheck.All,CoreTidy,1.364
QuickCheck-2.15.0.1,Test.QuickCheck.All,CoreToStg,4.563000000000001
QuickCheck-2.15.0.1,Test.QuickCheck.All,Demand analysis,13.849
QuickCheck-2.15.0.1,Test.QuickCheck.All,Desugar,1.895
QuickCheck-2.15.0.1,Test.QuickCheck.All,Exitification transformation,0.014
QuickCheck-2.15.0.1,Test.QuickCheck.All,Float inwards,0.034
QuickCheck-2.15.0.1,Test.QuickCheck.All,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",7.994
QuickCheck-2.15.0.1,Test.QuickCheck.All,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",3.761
QuickCheck-2.15.0.1,Test.QuickCheck.All,Parser,2.386
QuickCheck-2.15.0.1,Test.QuickCheck.All,Renamer/typechecker,30.194
QuickCheck-2.15.0.1,Test.QuickCheck.All,Simplifier,112.788
QuickCheck-2.15.0.1,Test.QuickCheck.All,Specialise,2.204
QuickCheck-2.15.0.1,Test.QuickCheck.All,Worker Wrapper binds,0.765
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Called arity analysis,0.01
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,CodeGen,1321.6019999999999
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Common sub-expression,0.02
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Constructed Product Result analysis,9.171
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,CorePrep,55.809
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,CoreTidy,38.072
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,CoreToStg,263.76300000000003
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Demand analysis,60.798
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Desugar,8.543
QuickCheck-2.15.0.1,Test.QuickCheck.Arbitrary,Exitification transformation,0.014
