package,module,phase,time
aeson-2.2.3.0,Data.Aeson,Called arity analysis,0.009
aeson-2.2.3.0,Data.Aeson,CodeGen,8.918
aeson-2.2.3.0,Data.Aeson,Common sub-expression,0.01
aeson-2.2.3.0,Data.Aeson,Constructed Product Result analysis,0.047
aeson-2.2.3.0,Data.Aeson,CorePrep,0.261
aeson-2.2.3.0,Data.Aeson,CoreTidy,0.239
aeson-2.2.3.0,Data.Aeson,CoreToStg,0.492
aeson-2.2.3.0,Data.Aeson,Demand analysis,0.388
aeson-2.2.3.0,Data.Aeson,Desugar,0.209
aeson-2.2.3.0,Data.Aeson,Exitification transformation,0.011
aeson-2.2.3.0,Data.Aeson,Float inwards,0.017
aeson-2.2.3.0,Data.Aeson,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.24
aeson-2.2.3.0,Data.Aeson,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.196
aeson-2.2.3.0,Data.Aeson,Parser,2.389
aeson-2.2.3.0,Data.Aeson,Renamer/typechecker,6.574
aeson-2.2.3.0,Data.Aeson,Simplifier,6.648000000000001
aeson-2.2.3.0,Data.Aeson,Specialise,0.059
aeson-2.2.3.0,Data.Aeson,Worker Wrapper binds,0.036
aeson-2.2.3.0,Data.Aeson.Decoding,Called arity analysis,0.011
aeson-2.2.3.0,Data.Aeson.Decoding,CodeGen,58.855999999999995
aeson-2.2.3.0,Data.Aeson.Decoding,Common sub-expression,0.013
aeson-2.2.3.0,Data.Aeson.Decoding,Constructed Product Result analysis,0.253
aeson-2.2.3.0,Data.Aeson.Decoding,CorePrep,0.973
aeson-2.2.3.0,Data.Aeson.Decoding,CoreTidy,1.035
aeson-2.2.3.0,Data.Aeson.Decoding,CoreToStg,3.836
aeson-2.2.3.0,Data.Aeson.Decoding,Demand analysis,2.334
aeson-2.2.3.0,Data.Aeson.Decoding,Desugar,0.914
aeson-2.2.3.0,Data.Aeson.Decoding,Exitification transformation,0.014
aeson-2.2.3.0,Data.Aeson.Decoding,Float inwards,0.020999999999999998
aeson-2.2.3.0,Data.Aeson.Decoding,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.884
aeson-2.2.3.0,Data.Aeson.Decoding,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.431
aeson-2.2.3.0,Data.Aeson.Decoding,Parser,1.227
aeson-2.2.3.0,Data.Aeson.Decoding,Renamer/typechecker,8.879
aeson-2.2.3.0,Data.Aeson.Decoding,Simplifier,41.39
aeson-2.2.3.0,Data.Aeson.Decoding,Specialise,0.309
aeson-2.2.3.0,Data.Aeson.Decoding,Worker Wrapper binds,0.205
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Called arity analysis,0.011
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,CodeGen,120.22200000000001
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Common sub-expression,0.028999999999999998
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Constructed Product Result analysis,0.66
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,CorePrep,1.588
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,CoreTidy,1.345
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,CoreToStg,10.649000000000001
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Demand analysis,5.824999999999999
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Desugar,4.223
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Exitification transformation,0.015
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Float inwards,0.024
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",7.426
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.794
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Liberate case,0.014
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Parser,15.867
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Renamer/typechecker,14.706
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Simplifier,156.42
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,SpecConstr,1.663
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Specialise,0.782
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString,Worker Wrapper binds,0.255
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Called arity analysis,0.017
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,CodeGen,678.8009999999999
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Common sub-expression,0.028
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Constructed Product Result analysis,0.672
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,CorePrep,4.702
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,CoreTidy,15.137
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,CoreToStg,64.34700000000001
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Demand analysis,11.277
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Desugar,9.776
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Exitification transformation,0.014
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Float inwards,0.026000000000000002
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.963
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.905
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Liberate case,0.014
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Parser,2.806
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Renamer/typechecker,15.531
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Simplifier,305.165
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,SpecConstr,5.58
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Specialise,0.754
aeson-2.2.3.0,Data.Aeson.Decoding.ByteString.Lazy,Worker Wrapper binds,5.39
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Called arity analysis,0.01
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,CodeGen,24.106
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Common sub-expression,0.012
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Constructed Product Result analysis,0.264
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,CorePrep,0.428
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,CoreTidy,0.531
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,CoreToStg,2.057
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Demand analysis,3.157
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Desugar,1.882
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Exitification transformation,0.022
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Float inwards,0.022
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",3.525
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",1.761
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Parser,1.304
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Renamer/typechecker,7.245
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Simplifier,73.826
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Specialise,1.108
aeson-2.2.3.0,Data.Aeson.Decoding.Conversion,Worker Wrapper binds,0.12
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,Called arity analysis,0.011
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,CodeGen,5.654
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,Common sub-expression,0.014
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,Constructed Product Result analysis,0.043
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,CorePrep,0.189
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,CoreTidy,0.196
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,CoreToStg,0.43300000000000005
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,Demand analysis,0.17099999999999999
aeson-2.2.3.0,Data.Aeson.Decoding.Internal,Desugar,0.295
