package,module,phase,time
amazonka-core-2.0,Amazonka.Bytes,Called arity analysis,0.009
amazonka-core-2.0,Amazonka.Bytes,CodeGen,3.8810000000000002
amazonka-core-2.0,Amazonka.Bytes,Common sub-expression,0.009
amazonka-core-2.0,Amazonka.Bytes,Constructed Product Result analysis,0.026
amazonka-core-2.0,Amazonka.Bytes,CorePrep,0.151
amazonka-core-2.0,Amazonka.Bytes,CoreTidy,0.091
amazonka-core-2.0,Amazonka.Bytes,CoreToStg,0.279
amazonka-core-2.0,Amazonka.Bytes,Demand analysis,0.16299999999999998
amazonka-core-2.0,Amazonka.Bytes,Desugar,0.128
amazonka-core-2.0,Amazonka.Bytes,Exitification transformation,0.01
amazonka-core-2.0,Amazonka.Bytes,Float inwards,0.017
amazonka-core-2.0,Amazonka.Bytes,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.074
amazonka-core-2.0,Amazonka.Bytes,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.121
amazonka-core-2.0,Amazonka.Bytes,Parser,0.301
amazonka-core-2.0,Amazonka.Bytes,Renamer/typechecker,19.81
amazonka-core-2.0,Amazonka.Bytes,Simplifier,1.271
amazonka-core-2.0,Amazonka.Bytes,Specialise,0.045
amazonka-core-2.0,Amazonka.Bytes,Worker Wrapper binds,0.046
amazonka-core-2.0,Amazonka.Core,Called arity analysis,0.01
amazonka-core-2.0,Amazonka.Core,CodeGen,4.122
amazonka-core-2.0,Amazonka.Core,Common sub-expression,0.014
amazonka-core-2.0,Amazonka.Core,Constructed Product Result analysis,0.041
amazonka-core-2.0,Amazonka.Core,CorePrep,0.101
amazonka-core-2.0,Amazonka.Core,CoreTidy,0.103
amazonka-core-2.0,Amazonka.Core,CoreToStg,0.22899999999999998
amazonka-core-2.0,Amazonka.Core,Demand analysis,0.178
amazonka-core-2.0,Amazonka.Core,Desugar,0.223
amazonka-core-2.0,Amazonka.Core,Exitification transformation,0.012
amazonka-core-2.0,Amazonka.Core,Float inwards,0.019999999999999997
amazonka-core-2.0,Amazonka.Core,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.139
amazonka-core-2.0,Amazonka.Core,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.144
amazonka-core-2.0,Amazonka.Core,Parser,0.53
amazonka-core-2.0,Amazonka.Core,Renamer/typechecker,3.378
amazonka-core-2.0,Amazonka.Core,Simplifier,1.332
amazonka-core-2.0,Amazonka.Core,Specialise,0.044
amazonka-core-2.0,Amazonka.Core,Worker Wrapper binds,0.068
amazonka-core-2.0,Amazonka.Core.Lens,Called arity analysis,0.009
amazonka-core-2.0,Amazonka.Core.Lens,CodeGen,1.133
amazonka-core-2.0,Amazonka.Core.Lens,Common sub-expression,0.01
amazonka-core-2.0,Amazonka.Core.Lens,Constructed Product Result analysis,0.012
amazonka-core-2.0,Amazonka.Core.Lens,CorePrep,0.061
amazonka-core-2.0,Amazonka.Core.Lens,CoreTidy,0.046
amazonka-core-2.0,Amazonka.Core.Lens,CoreToStg,0.115
amazonka-core-2.0,Amazonka.Core.Lens,Demand analysis,0.062
amazonka-core-2.0,Amazonka.Core.Lens,Desugar,0.082
amazonka-core-2.0,Amazonka.Core.Lens,Exitification transformation,0.013
amazonka-core-2.0,Amazonka.Core.Lens,Float inwards,0.018
amazonka-core-2.0,Amazonka.Core.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.036
amazonka-core-2.0,Amazonka.Core.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.026
amazonka-core-2.0,Amazonka.Core.Lens,Parser,0.397
amazonka-core-2.0,Amazonka.Core.Lens,Renamer/typechecker,1.261
amazonka-core-2.0,Amazonka.Core.Lens,Simplifier,0.348
amazonka-core-2.0,Amazonka.Core.Lens,Specialise,0.02
amazonka-core-2.0,Amazonka.Core.Lens,Worker Wrapper binds,0.024
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Called arity analysis,0.009
amazonka-core-2.0,Amazonka.Core.Lens.Internal,CodeGen,0.925
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Common sub-expression,0.009
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Constructed Product Result analysis,0.016
amazonka-core-2.0,Amazonka.Core.Lens.Internal,CorePrep,0.5840000000000001
amazonka-core-2.0,Amazonka.Core.Lens.Internal,CoreTidy,0.056
amazonka-core-2.0,Amazonka.Core.Lens.Internal,CoreToStg,0.09
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Demand analysis,0.046
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Desugar,0.052
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Exitification transformation,0.01
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Float inwards,0.017
amazonka-core-2.0,Amazonka.Core.Lens.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.052
amazonka-core-2.0,Amazonka.Core.Lens.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.029
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Parser,0.623
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Renamer/typechecker,53.895
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Simplifier,0.401
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Specialise,0.032
amazonka-core-2.0,Amazonka.Core.Lens.Internal,Worker Wrapper binds,0.015
amazonka-core-2.0,Amazonka.Crypto,Called arity analysis,0.02
amazonka-core-2.0,Amazonka.Crypto,CodeGen,9.588000000000001
amazonka-core-2.0,Amazonka.Crypto,Common sub-expression,0.012
amazonka-core-2.0,Amazonka.Crypto,Constructed Product Result analysis,0.065
amazonka-core-2.0,Amazonka.Crypto,CorePrep,0.33399999999999996
amazonka-core-2.0,Amazonka.Crypto,CoreTidy,0.256
amazonka-core-2.0,Amazonka.Crypto,CoreToStg,12.589
