package,module,total_time,parser_time,parser_percentage,size,extension
array-0.5.7.0,Data.Array,16.197000000000003,0.178,1.0989689448663331,2810,.hs
array-0.5.7.0,Data.Array.Base,6258.172,55.185,0.8818070196856207,67813,.hs
array-0.5.7.0,Data.Array.IArray,2.581,0.242,9.376210771018984,2125,.hs
array-0.5.7.0,Data.Array.IO,48.67099999999999,1.253,2.574428304329067,3827,.hs
array-0.5.7.0,Data.Array.IO.Internals,820.9,6.176,0.7523449872091607,15989,.hs
array-0.5.7.0,Data.Array.IO.Safe,2.4570000000000003,0.242,9.849409849409847,1144,.hs
array-0.5.7.0,Data.Array.MArray,3.1399999999999997,0.754,24.012738853503187,2166,.hs
array-0.5.7.0,Data.Array.MArray.Safe,4.7909999999999995,2.012,41.99540805677312,2205,.hs
array-0.5.7.0,Data.Array.ST,9.33,1.424,15.262593783494104,2370,.hs
array-0.5.7.0,Data.Array.ST.Safe,2.763,0.241,8.722403184943902,952,.hs
array-0.5.7.0,Data.Array.Storable,2.5860000000000003,0.277,10.711523588553751,1598,.hs
array-0.5.7.0,Data.Array.Storable.Internals,72.236,0.829,1.147627221883825,3290,.hs
array-0.5.7.0,Data.Array.Storable.Safe,3.1539999999999995,0.285,9.036144578313255,1683,.hs
array-0.5.7.0,Data.Array.Unboxed,2.656,0.167,6.287650602409639,731,.hs
array-0.5.7.0,Data.Array.Unsafe,3.1299999999999994,0.189,6.038338658146966,1234,.hs
