package,module,phase,time
array-0.5.7.0,Data.Array,Called arity analysis,0.009
array-0.5.7.0,Data.Array,CodeGen,0.8029999999999999
array-0.5.7.0,Data.Array,Common sub-expression,0.008
array-0.5.7.0,Data.Array,Constructed Product Result analysis,0.011
array-0.5.7.0,Data.Array,CorePrep,0.46199999999999997
array-0.5.7.0,Data.Array,CoreTidy,0.041
array-0.5.7.0,Data.Array,CoreToStg,0.096
array-0.5.7.0,Data.Array,Demand analysis,0.045
array-0.5.7.0,Data.Array,Desugar,0.035
array-0.5.7.0,Data.Array,Exitification transformation,0.008
array-0.5.7.0,Data.Array,Float inwards,0.016
array-0.5.7.0,Data.Array,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.035
array-0.5.7.0,Data.Array,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.024
array-0.5.7.0,Data.Array,Parser,0.199
array-0.5.7.0,Data.Array,Renamer/typechecker,9.771
array-0.5.7.0,Data.Array,Simplifier,1.218
array-0.5.7.0,Data.Array,Specialise,0.018
array-0.5.7.0,Data.Array,Worker Wrapper binds,0.01
array-0.5.7.0,Data.Array.Base,Called arity analysis,0.011
array-0.5.7.0,Data.Array.Base,CodeGen,950.619
array-0.5.7.0,Data.Array.Base,Common sub-expression,0.019
array-0.5.7.0,Data.Array.Base,Constructed Product Result analysis,9.726
array-0.5.7.0,Data.Array.Base,CorePrep,83.881
array-0.5.7.0,Data.Array.Base,CoreTidy,42.184
array-0.5.7.0,Data.Array.Base,CoreToStg,123.286
array-0.5.7.0,Data.Array.Base,Demand analysis,107.266
array-0.5.7.0,Data.Array.Base,Desugar,20.415
array-0.5.7.0,Data.Array.Base,Exitification transformation,0.012
array-0.5.7.0,Data.Array.Base,Float inwards,0.019999999999999997
array-0.5.7.0,Data.Array.Base,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",99.964
array-0.5.7.0,Data.Array.Base,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",90.829
array-0.5.7.0,Data.Array.Base,Parser,51.184
array-0.5.7.0,Data.Array.Base,Renamer/typechecker,187.347
array-0.5.7.0,Data.Array.Base,Simplifier,3874.272
array-0.5.7.0,Data.Array.Base,Specialise,19.393
array-0.5.7.0,Data.Array.Base,Worker Wrapper binds,3.403
array-0.5.7.0,Data.Array.IArray,Called arity analysis,0.012
array-0.5.7.0,Data.Array.IArray,CodeGen,0.905
array-0.5.7.0,Data.Array.IArray,Common sub-expression,0.011
array-0.5.7.0,Data.Array.IArray,Constructed Product Result analysis,0.015
array-0.5.7.0,Data.Array.IArray,CorePrep,0.059
array-0.5.7.0,Data.Array.IArray,CoreTidy,0.05
array-0.5.7.0,Data.Array.IArray,CoreToStg,0.09
array-0.5.7.0,Data.Array.IArray,Demand analysis,0.049
array-0.5.7.0,Data.Array.IArray,Desugar,0.042
array-0.5.7.0,Data.Array.IArray,Exitification transformation,0.013
array-0.5.7.0,Data.Array.IArray,Float inwards,0.022
array-0.5.7.0,Data.Array.IArray,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.047
array-0.5.7.0,Data.Array.IArray,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.033
array-0.5.7.0,Data.Array.IArray,Parser,0.383
