package,module,phase,time
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Called arity analysis,0.014
base64-bytestring-1.2.1.0,Data.ByteString.Base64,CodeGen,25.776
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Common sub-expression,0.013
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Constructed Product Result analysis,0.091
base64-bytestring-1.2.1.0,Data.ByteString.Base64,CorePrep,0.33599999999999997
base64-bytestring-1.2.1.0,Data.ByteString.Base64,CoreTidy,0.264
base64-bytestring-1.2.1.0,Data.ByteString.Base64,CoreToStg,1.124
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Demand analysis,0.519
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Desugar,0.293
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Exitification transformation,0.01
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Float inwards,0.03
base64-bytestring-1.2.1.0,Data.ByteString.Base64,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.343
base64-bytestring-1.2.1.0,Data.ByteString.Base64,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.545
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Parser,1.677
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Renamer/typechecker,2.713
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Simplifier,15.96
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Specialise,0.065
base64-bytestring-1.2.1.0,Data.ByteString.Base64,Worker Wrapper binds,0.055
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,Called arity analysis,0.021
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,CodeGen,118.138
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,Common sub-expression,0.018
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,Constructed Product Result analysis,0.6
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,CorePrep,4.856
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,CoreTidy,1.755
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,CoreToStg,10.837
base64-bytestring-1.2.1.0,Data.ByteString.Base64.Internal,Demand analysis,4.510999999999999
