package,module,phase,time
binary-0.8.9.2,Data.Binary,Called arity analysis,0.02
binary-0.8.9.2,Data.Binary,CodeGen,19.407
binary-0.8.9.2,Data.Binary,Common sub-expression,0.02
binary-0.8.9.2,Data.Binary,Constructed Product Result analysis,0.068
binary-0.8.9.2,Data.Binary,CorePrep,0.353
binary-0.8.9.2,Data.Binary,CoreTidy,0.322
binary-0.8.9.2,Data.Binary,CoreToStg,1.0859999999999999
binary-0.8.9.2,Data.Binary,Demand analysis,0.5329999999999999
binary-0.8.9.2,Data.Binary,Desugar,0.46
binary-0.8.9.2,Data.Binary,Exitification transformation,0.01
binary-0.8.9.2,Data.Binary,Float inwards,0.046
binary-0.8.9.2,Data.Binary,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.493
binary-0.8.9.2,Data.Binary,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.451
binary-0.8.9.2,Data.Binary,Liberate case,0.014
binary-0.8.9.2,Data.Binary,Parser,2.238
binary-0.8.9.2,Data.Binary,Renamer/typechecker,6.134
binary-0.8.9.2,Data.Binary,Simplifier,14.966
binary-0.8.9.2,Data.Binary,SpecConstr,0.136
binary-0.8.9.2,Data.Binary,Specialise,0.091
binary-0.8.9.2,Data.Binary,Worker Wrapper binds,0.067
binary-0.8.9.2,Data.Binary.Builder,Called arity analysis,0.01
binary-0.8.9.2,Data.Binary.Builder,CodeGen,61.178
binary-0.8.9.2,Data.Binary.Builder,Common sub-expression,0.027
binary-0.8.9.2,Data.Binary.Builder,Constructed Product Result analysis,0.454
binary-0.8.9.2,Data.Binary.Builder,CorePrep,1.6509999999999998
binary-0.8.9.2,Data.Binary.Builder,CoreTidy,1.216
binary-0.8.9.2,Data.Binary.Builder,CoreToStg,10.604
binary-0.8.9.2,Data.Binary.Builder,Demand analysis,4.716
binary-0.8.9.2,Data.Binary.Builder,Desugar,0.228
binary-0.8.9.2,Data.Binary.Builder,Exitification transformation,0.015
binary-0.8.9.2,Data.Binary.Builder,Float inwards,0.02
binary-0.8.9.2,Data.Binary.Builder,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.236
