package,module,phase,time
bytestring-0.12.1.0,Data.ByteString,Called arity analysis,0.01
bytestring-0.12.1.0,Data.ByteString,CodeGen,373.17
bytestring-0.12.1.0,Data.ByteString,Common sub-expression,0.027
bytestring-0.12.1.0,Data.ByteString,Constructed Product Result analysis,2.198
bytestring-0.12.1.0,Data.ByteString,CorePrep,6.813000000000001
bytestring-0.12.1.0,Data.ByteString,CoreTidy,8.016
bytestring-0.12.1.0,Data.ByteString,CoreToStg,65.702
bytestring-0.12.1.0,Data.ByteString,Demand analysis,46.453
bytestring-0.12.1.0,Data.ByteString,Desugar,8.016
bytestring-0.12.1.0,Data.ByteString,Exitification transformation,0.015
bytestring-0.12.1.0,Data.ByteString,Float inwards,0.020999999999999998
bytestring-0.12.1.0,Data.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",25.905
bytestring-0.12.1.0,Data.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",27.146
bytestring-0.12.1.0,Data.ByteString,Liberate case,0.013
bytestring-0.12.1.0,Data.ByteString,Parser,17.728
bytestring-0.12.1.0,Data.ByteString,Renamer/typechecker,74.61
bytestring-0.12.1.0,Data.ByteString,Simplifier,1486.271
bytestring-0.12.1.0,Data.ByteString,SpecConstr,14.23
bytestring-0.12.1.0,Data.ByteString,Specialise,4.97
bytestring-0.12.1.0,Data.ByteString,Worker Wrapper binds,1.041
bytestring-0.12.1.0,Data.ByteString.Builder,Called arity analysis,0.01
bytestring-0.12.1.0,Data.ByteString.Builder,CodeGen,46.611000000000004
bytestring-0.12.1.0,Data.ByteString.Builder,Common sub-expression,0.02
bytestring-0.12.1.0,Data.ByteString.Builder,Constructed Product Result analysis,0.329
bytestring-0.12.1.0,Data.ByteString.Builder,CorePrep,1.097
bytestring-0.12.1.0,Data.ByteString.Builder,CoreTidy,1.507
bytestring-0.12.1.0,Data.ByteString.Builder,CoreToStg,4.691
bytestring-0.12.1.0,Data.ByteString.Builder,Demand analysis,3.8739999999999997
bytestring-0.12.1.0,Data.ByteString.Builder,Desugar,0.226
bytestring-0.12.1.0,Data.ByteString.Builder,Exitification transformation,0.012
bytestring-0.12.1.0,Data.ByteString.Builder,Float inwards,0.027999999999999997
bytestring-0.12.1.0,Data.ByteString.Builder,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",1.52
bytestring-0.12.1.0,Data.ByteString.Builder,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.106
bytestring-0.12.1.0,Data.ByteString.Builder,Liberate case,0.01
bytestring-0.12.1.0,Data.ByteString.Builder,Parser,1.941
bytestring-0.12.1.0,Data.ByteString.Builder,Renamer/typechecker,5.148
bytestring-0.12.1.0,Data.ByteString.Builder,Simplifier,130.907
bytestring-0.12.1.0,Data.ByteString.Builder,SpecConstr,0.434
bytestring-0.12.1.0,Data.ByteString.Builder,Specialise,0.334
bytestring-0.12.1.0,Data.ByteString.Builder,Worker Wrapper binds,0.277
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Called arity analysis,0.011
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,CodeGen,84.58500000000001
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Common sub-expression,0.023
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Constructed Product Result analysis,0.681
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,CorePrep,2.112
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,CoreTidy,2.424
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,CoreToStg,11.722
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Demand analysis,6.494
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Desugar,0.561
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Exitification transformation,0.013
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Float inwards,0.020999999999999998
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.292
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.056
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Liberate case,0.012
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Parser,1.987
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Renamer/typechecker,4.536
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Simplifier,246.327
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,SpecConstr,1.112
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Specialise,0.716
bytestring-0.12.1.0,Data.ByteString.Builder.ASCII,Worker Wrapper binds,0.311
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Called arity analysis,0.01
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,CodeGen,25.28
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Common sub-expression,0.020999999999999998
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Constructed Product Result analysis,0.121
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,CorePrep,0.586
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,CoreTidy,0.506
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,CoreToStg,2.105
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Demand analysis,1.065
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Desugar,0.297
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Exitification transformation,0.018
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Float inwards,0.019
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.579
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.603
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Liberate case,0.01
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Parser,1.189
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Renamer/typechecker,3.454
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Simplifier,34.051
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,SpecConstr,0.172
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Specialise,0.143
bytestring-0.12.1.0,Data.ByteString.Builder.Extra,Worker Wrapper binds,0.08
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Called arity analysis,0.01
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,CodeGen,204.289
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Common sub-expression,0.027
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Constructed Product Result analysis,0.848
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,CorePrep,4.087
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,CoreTidy,3.923
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,CoreToStg,31.688
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Demand analysis,18.787
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Desugar,2.869
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Exitification transformation,0.015
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Float inwards,0.020999999999999998
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",12.468
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",7.571
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Liberate case,0.013
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Parser,7.514
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Renamer/typechecker,25.154
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Simplifier,514.922
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,SpecConstr,2.491
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Specialise,1.223
bytestring-0.12.1.0,Data.ByteString.Builder.Internal,Worker Wrapper binds,0.251
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Called arity analysis,0.011
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,CodeGen,189.79500000000002
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Common sub-expression,0.026000000000000002
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Constructed Product Result analysis,0.637
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,CorePrep,4.077999999999999
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,CoreTidy,2.989
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,CoreToStg,42.722
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Demand analysis,16.441000000000003
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Desugar,1.733
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Exitification transformation,0.016
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Float inwards,0.025
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.958
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.666
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Liberate case,0.011
bytestring-0.12.1.0,Data.ByteString.Builder.Prim,Parser,2.983
