package,module,phase,time
conduit-1.3.5,Conduit,Called arity analysis,0.01
conduit-1.3.5,Conduit,CodeGen,0.813
conduit-1.3.5,Conduit,Common sub-expression,0.008
conduit-1.3.5,Conduit,Constructed Product Result analysis,0.012
conduit-1.3.5,Conduit,CorePrep,0.056
conduit-1.3.5,Conduit,CoreTidy,0.042
conduit-1.3.5,Conduit,CoreToStg,0.08
conduit-1.3.5,Conduit,Demand analysis,0.045
conduit-1.3.5,Conduit,Desugar,0.132
conduit-1.3.5,Conduit,Exitification transformation,0.009
conduit-1.3.5,Conduit,Float inwards,0.016
conduit-1.3.5,Conduit,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.055
conduit-1.3.5,Conduit,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.026
conduit-1.3.5,Conduit,Parser,0.99
conduit-1.3.5,Conduit,Renamer/typechecker,1.358
conduit-1.3.5,Conduit,Simplifier,0.426
conduit-1.3.5,Conduit,Specialise,0.018
conduit-1.3.5,Conduit,Worker Wrapper binds,0.011
conduit-1.3.5,Data.Conduit,Called arity analysis,0.009
conduit-1.3.5,Data.Conduit,CodeGen,0.7
conduit-1.3.5,Data.Conduit,Common sub-expression,0.009
conduit-1.3.5,Data.Conduit,Constructed Product Result analysis,0.011
conduit-1.3.5,Data.Conduit,CorePrep,0.065
conduit-1.3.5,Data.Conduit,CoreTidy,0.047
conduit-1.3.5,Data.Conduit,CoreToStg,0.099
conduit-1.3.5,Data.Conduit,Demand analysis,0.045
conduit-1.3.5,Data.Conduit,Desugar,0.04
conduit-1.3.5,Data.Conduit,Exitification transformation,0.01
conduit-1.3.5,Data.Conduit,Float inwards,0.017
conduit-1.3.5,Data.Conduit,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.071
conduit-1.3.5,Data.Conduit,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.026
conduit-1.3.5,Data.Conduit,Parser,0.442
conduit-1.3.5,Data.Conduit,Renamer/typechecker,0.583
conduit-1.3.5,Data.Conduit,Simplifier,0.444
conduit-1.3.5,Data.Conduit,Specialise,0.034
conduit-1.3.5,Data.Conduit,Worker Wrapper binds,0.011
conduit-1.3.5,Data.Conduit.Combinators,Called arity analysis,0.011
conduit-1.3.5,Data.Conduit.Combinators,CodeGen,804.9870000000001
conduit-1.3.5,Data.Conduit.Combinators,Common sub-expression,0.018
conduit-1.3.5,Data.Conduit.Combinators,Constructed Product Result analysis,6.631
conduit-1.3.5,Data.Conduit.Combinators,CorePrep,13.232
conduit-1.3.5,Data.Conduit.Combinators,CoreTidy,20.215
conduit-1.3.5,Data.Conduit.Combinators,CoreToStg,87.404
conduit-1.3.5,Data.Conduit.Combinators,Demand analysis,76.259
conduit-1.3.5,Data.Conduit.Combinators,Desugar,27.376
conduit-1.3.5,Data.Conduit.Combinators,Exitification transformation,0.013
conduit-1.3.5,Data.Conduit.Combinators,Float inwards,0.023
conduit-1.3.5,Data.Conduit.Combinators,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",70.369
conduit-1.3.5,Data.Conduit.Combinators,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",59.585
conduit-1.3.5,Data.Conduit.Combinators,Parser,25.55
conduit-1.3.5,Data.Conduit.Combinators,Renamer/typechecker,180.625
conduit-1.3.5,Data.Conduit.Combinators,Simplifier,2631.2
conduit-1.3.5,Data.Conduit.Combinators,Specialise,9.129
conduit-1.3.5,Data.Conduit.Combinators,Worker Wrapper binds,5.532
conduit-1.3.5,Data.Conduit.Combinators.Stream,Called arity analysis,0.016
conduit-1.3.5,Data.Conduit.Combinators.Stream,CodeGen,196.16
conduit-1.3.5,Data.Conduit.Combinators.Stream,Common sub-expression,0.012
conduit-1.3.5,Data.Conduit.Combinators.Stream,Constructed Product Result analysis,0.869
conduit-1.3.5,Data.Conduit.Combinators.Stream,CorePrep,3.91
conduit-1.3.5,Data.Conduit.Combinators.Stream,CoreTidy,4.476
conduit-1.3.5,Data.Conduit.Combinators.Stream,CoreToStg,9.149
conduit-1.3.5,Data.Conduit.Combinators.Stream,Demand analysis,7.99
conduit-1.3.5,Data.Conduit.Combinators.Stream,Desugar,7.146
conduit-1.3.5,Data.Conduit.Combinators.Stream,Exitification transformation,0.013
