package,module,total_time,parser_time,parser_percentage,size,extension
containers-0.7,Data.Containers.ListUtils,76.92999999999999,2.747,3.5707786299233075,6024,.hs
containers-0.7,Data.Graph,1293.078,5.463,0.4224803144125876,27584,.hs
containers-0.7,Data.IntMap,16.908,1.738,10.279157795126565,3869,.hs
containers-0.7,Data.IntMap.Internal,6025.6539999999995,39.988,0.6636292093771067,46554,.hs
containers-0.7,Data.IntMap.Internal.Debug,2.755,0.109,3.956442831215971,103,.hs
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,11.928,1.203,10.085513078470825,673,.hs
containers-0.7,Data.IntMap.Lazy,6.188999999999998,3.242,52.3832606236872,2603,.hs
containers-0.7,Data.IntMap.Merge.Lazy,3.9209999999999994,1.021,26.03927569497577,2603,.hs
containers-0.7,Data.IntMap.Merge.Strict,73.09800000000001,2.404,3.288735669922569,7166,.hs
containers-0.7,Data.IntMap.Strict,4.935999999999999,1.532,31.037277147487853,7166,.hs
containers-0.7,Data.IntMap.Strict.Internal,1207.75,11.02,0.9124404885116952,46554,.hs
containers-0.7,Data.IntSet,4.79,1.356,28.308977035490607,4656,.hs
containers-0.7,Data.IntSet.Internal,1810.759,23.282,1.285759176124487,65726,.hs
containers-0.7,Data.Map,19.482,1.462,7.504363001745201,3930,.hs
containers-0.7,Data.Map.Internal,3900.076,54.645,1.4011265421494352,64806,.hs
containers-0.7,Data.Map.Internal.Debug,240.25699999999998,3.068,1.2769659156653086,4452,.hs
containers-0.7,Data.Map.Internal.DeprecatedShowTree,13.839,1.206,8.714502492954693,771,.hs
containers-0.7,Data.Map.Lazy,5.1659999999999995,2.41,46.651180797522265,2573,.hs
containers-0.7,Data.Map.Merge.Lazy,4.4830000000000005,1.259,28.08387240687039,2573,.hs
containers-0.7,Data.Map.Merge.Strict,5.265,2.072,39.35422602089269,2632,.hs
containers-0.7,Data.Map.Strict,3.97,1.4,35.26448362720402,2632,.hs
containers-0.7,Data.Map.Strict.Internal,901.039,13.892,1.5417756612088933,64806,.hs
containers-0.7,Data.Sequence,5.138,2.214,43.09069676917088,12400,.hs
containers-0.7,Data.Sequence.Internal,20112.475000000002,107.82,0.5360851909076332,196559,.hs
containers-0.7,Data.Sequence.Internal.Sorting,711.3929999999999,3.272,0.45994267584865184,15620,.hs
containers-0.7,Data.Set,3.658,1.068,29.196282121377802,4695,.hs
containers-0.7,Data.Set.Internal,2118.7409999999995,31.82,1.5018352880319024,73640,.hs
containers-0.7,Data.Tree,1006.1859999999999,5.936,0.5899505657999615,15027,.hs
containers-0.7,Utils.Containers.Internal.BitQueue,91.80399999999999,2.353,2.5630691473138434,4210,.hs
containers-0.7,Utils.Containers.Internal.BitUtil,35.16700000000001,1.209,3.437882105382887,2523,.hs
containers-0.7,Utils.Containers.Internal.Coercions,8.51,1.455,17.097532314923622,883,.hs
containers-0.7,Utils.Containers.Internal.Prelude,5.257,0.24,4.565341449495911,488,.hs
containers-0.7,Utils.Containers.Internal.PtrEquality,9.333,1.584,16.972034715525556,1103,.hs
containers-0.7,Utils.Containers.Internal.State,32.262,1.35,4.184489492281942,865,.hs
containers-0.7,Utils.Containers.Internal.StrictMaybe,64.712,1.142,1.7647422425516133,584,.hs
containers-0.7,Utils.Containers.Internal.StrictPair,11.243999999999998,1.28,11.383849163998578,496,.hs
containers-0.7,Utils.Containers.Internal.TypeError,8.378,0.877,10.467892098352829,1474,.hs
