package,module,phase,time
containers-0.7,Data.Containers.ListUtils,Called arity analysis,0.01
containers-0.7,Data.Containers.ListUtils,CodeGen,29.686
containers-0.7,Data.Containers.ListUtils,Common sub-expression,0.027
containers-0.7,Data.Containers.ListUtils,Constructed Product Result analysis,0.289
containers-0.7,Data.Containers.ListUtils,CorePrep,0.643
containers-0.7,Data.Containers.ListUtils,CoreTidy,0.748
containers-0.7,Data.Containers.ListUtils,CoreToStg,2.279
containers-0.7,Data.Containers.ListUtils,Demand analysis,2.037
containers-0.7,Data.Containers.ListUtils,Desugar,0.697
containers-0.7,Data.Containers.ListUtils,Exitification transformation,0.023
containers-0.7,Data.Containers.ListUtils,Float inwards,0.024
containers-0.7,Data.Containers.ListUtils,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.699
containers-0.7,Data.Containers.ListUtils,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.937
containers-0.7,Data.Containers.ListUtils,Liberate case,0.013
containers-0.7,Data.Containers.ListUtils,Parser,2.747
containers-0.7,Data.Containers.ListUtils,Renamer/typechecker,5.054
containers-0.7,Data.Containers.ListUtils,Simplifier,30.36
containers-0.7,Data.Containers.ListUtils,SpecConstr,0.345
containers-0.7,Data.Containers.ListUtils,Specialise,0.198
containers-0.7,Data.Containers.ListUtils,Worker Wrapper binds,0.114
containers-0.7,Data.Graph,Called arity analysis,0.009
containers-0.7,Data.Graph,CodeGen,352.988
containers-0.7,Data.Graph,Common sub-expression,0.031
containers-0.7,Data.Graph,Constructed Product Result analysis,1.754
containers-0.7,Data.Graph,CorePrep,5.946
containers-0.7,Data.Graph,CoreTidy,6.752
containers-0.7,Data.Graph,CoreToStg,36.293
containers-0.7,Data.Graph,Demand analysis,23.802
containers-0.7,Data.Graph,Desugar,3.232
containers-0.7,Data.Graph,Exitification transformation,0.013
containers-0.7,Data.Graph,Float inwards,0.020999999999999998
containers-0.7,Data.Graph,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",15.112
containers-0.7,Data.Graph,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",15.074
containers-0.7,Data.Graph,Liberate case,0.013
containers-0.7,Data.Graph,Parser,5.463
containers-0.7,Data.Graph,Renamer/typechecker,29.01
containers-0.7,Data.Graph,Simplifier,781.81
containers-0.7,Data.Graph,SpecConstr,11.143
containers-0.7,Data.Graph,Specialise,3.294
containers-0.7,Data.Graph,Worker Wrapper binds,1.318
containers-0.7,Data.IntMap,Called arity analysis,0.011
containers-0.7,Data.IntMap,CodeGen,6.529
containers-0.7,Data.IntMap,Common sub-expression,0.025
containers-0.7,Data.IntMap,Constructed Product Result analysis,0.035
containers-0.7,Data.IntMap,CorePrep,0.21200000000000002
containers-0.7,Data.IntMap,CoreTidy,0.207
containers-0.7,Data.IntMap,CoreToStg,0.44
containers-0.7,Data.IntMap,Demand analysis,0.182
containers-0.7,Data.IntMap,Desugar,0.272
containers-0.7,Data.IntMap,Exitification transformation,0.012
containers-0.7,Data.IntMap,Float inwards,0.022
containers-0.7,Data.IntMap,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.3
containers-0.7,Data.IntMap,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.12
containers-0.7,Data.IntMap,Liberate case,0.011
containers-0.7,Data.IntMap,Parser,1.738
containers-0.7,Data.IntMap,Renamer/typechecker,1.71
containers-0.7,Data.IntMap,Simplifier,4.916
containers-0.7,Data.IntMap,SpecConstr,0.047
containers-0.7,Data.IntMap,Specialise,0.065
containers-0.7,Data.IntMap,Worker Wrapper binds,0.054
containers-0.7,Data.IntMap.Internal,Called arity analysis,0.01
containers-0.7,Data.IntMap.Internal,CodeGen,1846.0729999999999
containers-0.7,Data.IntMap.Internal,Common sub-expression,0.03
containers-0.7,Data.IntMap.Internal,Constructed Product Result analysis,7.044
containers-0.7,Data.IntMap.Internal,CorePrep,23.707
containers-0.7,Data.IntMap.Internal,CoreTidy,28.424
containers-0.7,Data.IntMap.Internal,CoreToStg,428.57
containers-0.7,Data.IntMap.Internal,Demand analysis,89.042
containers-0.7,Data.IntMap.Internal,Desugar,66.888
containers-0.7,Data.IntMap.Internal,Exitification transformation,0.015
containers-0.7,Data.IntMap.Internal,Float inwards,0.031
containers-0.7,Data.IntMap.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",149.95
containers-0.7,Data.IntMap.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",65.187
containers-0.7,Data.IntMap.Internal,Liberate case,0.012
containers-0.7,Data.IntMap.Internal,Parser,39.988
containers-0.7,Data.IntMap.Internal,Renamer/typechecker,119.424
containers-0.7,Data.IntMap.Internal,Simplifier,3125.335
containers-0.7,Data.IntMap.Internal,SpecConstr,16.142
containers-0.7,Data.IntMap.Internal,Specialise,16.8
containers-0.7,Data.IntMap.Internal,Worker Wrapper binds,2.982
containers-0.7,Data.IntMap.Internal.Debug,Called arity analysis,0.011
containers-0.7,Data.IntMap.Internal.Debug,CodeGen,0.901
containers-0.7,Data.IntMap.Internal.Debug,Common sub-expression,0.019999999999999997
containers-0.7,Data.IntMap.Internal.Debug,Constructed Product Result analysis,0.014
containers-0.7,Data.IntMap.Internal.Debug,CorePrep,0.069
containers-0.7,Data.IntMap.Internal.Debug,CoreTidy,0.053
containers-0.7,Data.IntMap.Internal.Debug,CoreToStg,0.11399999999999999
containers-0.7,Data.IntMap.Internal.Debug,Demand analysis,0.048
containers-0.7,Data.IntMap.Internal.Debug,Desugar,0.081
containers-0.7,Data.IntMap.Internal.Debug,Exitification transformation,0.011
containers-0.7,Data.IntMap.Internal.Debug,Float inwards,0.019
containers-0.7,Data.IntMap.Internal.Debug,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.044
containers-0.7,Data.IntMap.Internal.Debug,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.029
containers-0.7,Data.IntMap.Internal.Debug,Liberate case,0.009
containers-0.7,Data.IntMap.Internal.Debug,Parser,0.109
containers-0.7,Data.IntMap.Internal.Debug,Renamer/typechecker,0.528
containers-0.7,Data.IntMap.Internal.Debug,Simplifier,0.642
containers-0.7,Data.IntMap.Internal.Debug,SpecConstr,0.015
containers-0.7,Data.IntMap.Internal.Debug,Specialise,0.026
containers-0.7,Data.IntMap.Internal.Debug,Worker Wrapper binds,0.012
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Called arity analysis,0.018
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,CodeGen,5.084
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Common sub-expression,0.023
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Constructed Product Result analysis,0.029
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,CorePrep,0.27599999999999997
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,CoreTidy,0.169
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,CoreToStg,0.396
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Demand analysis,0.137
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Desugar,0.141
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Exitification transformation,0.011
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Float inwards,0.027000000000000003
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.166
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.075
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Liberate case,0.011
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Parser,1.203
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Renamer/typechecker,1.177
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Simplifier,2.858
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,SpecConstr,0.028
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Specialise,0.046
containers-0.7,Data.IntMap.Internal.DeprecatedDebug,Worker Wrapper binds,0.053
containers-0.7,Data.IntMap.Lazy,Called arity analysis,0.011
containers-0.7,Data.IntMap.Lazy,CodeGen,0.835
containers-0.7,Data.IntMap.Lazy,Common sub-expression,0.020999999999999998
containers-0.7,Data.IntMap.Lazy,Constructed Product Result analysis,0.014
containers-0.7,Data.IntMap.Lazy,CorePrep,0.111
containers-0.7,Data.IntMap.Lazy,CoreTidy,0.124
containers-0.7,Data.IntMap.Lazy,CoreToStg,0.159
containers-0.7,Data.IntMap.Lazy,Demand analysis,0.08
containers-0.7,Data.IntMap.Lazy,Desugar,0.163
containers-0.7,Data.IntMap.Lazy,Exitification transformation,0.01
containers-0.7,Data.IntMap.Lazy,Float inwards,0.018
containers-0.7,Data.IntMap.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.036
containers-0.7,Data.IntMap.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.028
containers-0.7,Data.IntMap.Lazy,Liberate case,0.01
containers-0.7,Data.IntMap.Lazy,Parser,3.242
containers-0.7,Data.IntMap.Lazy,Renamer/typechecker,0.766
containers-0.7,Data.IntMap.Lazy,Simplifier,0.505
containers-0.7,Data.IntMap.Lazy,SpecConstr,0.026
containers-0.7,Data.IntMap.Lazy,Specialise,0.018
containers-0.7,Data.IntMap.Lazy,Worker Wrapper binds,0.012
containers-0.7,Data.IntMap.Merge.Lazy,Called arity analysis,0.012
containers-0.7,Data.IntMap.Merge.Lazy,CodeGen,0.975
containers-0.7,Data.IntMap.Merge.Lazy,Common sub-expression,0.019
containers-0.7,Data.IntMap.Merge.Lazy,Constructed Product Result analysis,0.017
containers-0.7,Data.IntMap.Merge.Lazy,CorePrep,0.08
containers-0.7,Data.IntMap.Merge.Lazy,CoreTidy,0.053
containers-0.7,Data.IntMap.Merge.Lazy,CoreToStg,0.148
containers-0.7,Data.IntMap.Merge.Lazy,Demand analysis,0.067
containers-0.7,Data.IntMap.Merge.Lazy,Desugar,0.164
containers-0.7,Data.IntMap.Merge.Lazy,Exitification transformation,0.01
containers-0.7,Data.IntMap.Merge.Lazy,Float inwards,0.019
containers-0.7,Data.IntMap.Merge.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.049
containers-0.7,Data.IntMap.Merge.Lazy,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.03
containers-0.7,Data.IntMap.Merge.Lazy,Liberate case,0.01
containers-0.7,Data.IntMap.Merge.Lazy,Parser,1.021
containers-0.7,Data.IntMap.Merge.Lazy,Renamer/typechecker,0.642
containers-0.7,Data.IntMap.Merge.Lazy,Simplifier,0.55
containers-0.7,Data.IntMap.Merge.Lazy,SpecConstr,0.017
containers-0.7,Data.IntMap.Merge.Lazy,Specialise,0.025
containers-0.7,Data.IntMap.Merge.Lazy,Worker Wrapper binds,0.013
containers-0.7,Data.IntMap.Merge.Strict,Called arity analysis,0.01
containers-0.7,Data.IntMap.Merge.Strict,CodeGen,26.463
containers-0.7,Data.IntMap.Merge.Strict,Common sub-expression,0.025
containers-0.7,Data.IntMap.Merge.Strict,Constructed Product Result analysis,0.102
containers-0.7,Data.IntMap.Merge.Strict,CorePrep,0.492
