package,module,phase,time
directory-1.3.8.5,System.Directory,Called arity analysis,0.01
directory-1.3.8.5,System.Directory,CodeGen,77.214
directory-1.3.8.5,System.Directory,Common sub-expression,0.02
directory-1.3.8.5,System.Directory,Constructed Product Result analysis,0.709
directory-1.3.8.5,System.Directory,CorePrep,1.262
directory-1.3.8.5,System.Directory,CoreTidy,3.409
directory-1.3.8.5,System.Directory,CoreToStg,9.207
directory-1.3.8.5,System.Directory,Demand analysis,3.9459999999999997
directory-1.3.8.5,System.Directory,Desugar,0.565
directory-1.3.8.5,System.Directory,Exitification transformation,0.013
directory-1.3.8.5,System.Directory,Float inwards,0.022
directory-1.3.8.5,System.Directory,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",2.766
directory-1.3.8.5,System.Directory,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.964
directory-1.3.8.5,System.Directory,Parser,5.641
directory-1.3.8.5,System.Directory,Renamer/typechecker,14.493
directory-1.3.8.5,System.Directory,Simplifier,85.533
directory-1.3.8.5,System.Directory,Specialise,0.304
directory-1.3.8.5,System.Directory,Worker Wrapper binds,0.242
directory-1.3.8.5,System.Directory.Internal,Called arity analysis,0.01
directory-1.3.8.5,System.Directory.Internal,CodeGen,1.521
directory-1.3.8.5,System.Directory.Internal,Common sub-expression,0.01
directory-1.3.8.5,System.Directory.Internal,Constructed Product Result analysis,0.012
directory-1.3.8.5,System.Directory.Internal,CorePrep,0.121
directory-1.3.8.5,System.Directory.Internal,CoreTidy,0.104
directory-1.3.8.5,System.Directory.Internal,CoreToStg,0.202
directory-1.3.8.5,System.Directory.Internal,Demand analysis,0.051000000000000004
directory-1.3.8.5,System.Directory.Internal,Desugar,0.113
directory-1.3.8.5,System.Directory.Internal,Exitification transformation,0.01
directory-1.3.8.5,System.Directory.Internal,Float inwards,0.020999999999999998
directory-1.3.8.5,System.Directory.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.037
directory-1.3.8.5,System.Directory.Internal,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.027
directory-1.3.8.5,System.Directory.Internal,Parser,0.87
directory-1.3.8.5,System.Directory.Internal,Renamer/typechecker,0.639
directory-1.3.8.5,System.Directory.Internal,Simplifier,0.345
directory-1.3.8.5,System.Directory.Internal,Specialise,0.019
directory-1.3.8.5,System.Directory.Internal,Worker Wrapper binds,0.011
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Called arity analysis,0.011
directory-1.3.8.5,System.Directory.Internal.C_utimensat,CodeGen,1.215
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Common sub-expression,0.009
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Constructed Product Result analysis,0.015
directory-1.3.8.5,System.Directory.Internal.C_utimensat,CorePrep,0.536
directory-1.3.8.5,System.Directory.Internal.C_utimensat,CoreTidy,0.048
directory-1.3.8.5,System.Directory.Internal.C_utimensat,CoreToStg,0.11299999999999999
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Demand analysis,0.052000000000000005
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Desugar,0.051
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Exitification transformation,0.011
directory-1.3.8.5,System.Directory.Internal.C_utimensat,Float inwards,0.019
directory-1.3.8.5,System.Directory.Internal.C_utimensat,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.039
