package,module,phase,time
filepath-1.5.3.0,/home/vibilanj/Documents/uni/research/haskell_parser/benchmarking/sources/filepath-1.5.3.0/dist-newstyle/build/x86_64-linux/ghc-9.4.8/filepath-1.5.3.0/build/System/OsPath.dyn_hi-boot,WriteIface,0.214
filepath-1.5.3.0,/home/vibilanj/Documents/uni/research/haskell_parser/benchmarking/sources/filepath-1.5.3.0/dist-newstyle/build/x86_64-linux/ghc-9.4.8/filepath-1.5.3.0/build/System/OsPath.hi-boot,WriteIface,0.237
filepath-1.5.3.0,System.FilePath,Called arity analysis,0.011
filepath-1.5.3.0,System.FilePath,CodeGen,0.9319999999999999
filepath-1.5.3.0,System.FilePath,Common sub-expression,0.01
filepath-1.5.3.0,System.FilePath,Constructed Product Result analysis,0.014
filepath-1.5.3.0,System.FilePath,CorePrep,0.088
filepath-1.5.3.0,System.FilePath,CoreTidy,0.054
filepath-1.5.3.0,System.FilePath,CoreToStg,0.116
filepath-1.5.3.0,System.FilePath,Demand analysis,0.053000000000000005
filepath-1.5.3.0,System.FilePath,Desugar,0.176
filepath-1.5.3.0,System.FilePath,Exitification transformation,0.011
filepath-1.5.3.0,System.FilePath,Float inwards,0.02
filepath-1.5.3.0,System.FilePath,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.042
filepath-1.5.3.0,System.FilePath,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.031
filepath-1.5.3.0,System.FilePath,Parser,1.445
filepath-1.5.3.0,System.FilePath,Renamer/typechecker,0.712
filepath-1.5.3.0,System.FilePath,Simplifier,0.44599999999999995
filepath-1.5.3.0,System.FilePath,Specialise,0.021
filepath-1.5.3.0,System.FilePath,Worker Wrapper binds,0.014
filepath-1.5.3.0,System.FilePath.Posix,Called arity analysis,0.011
filepath-1.5.3.0,System.FilePath.Posix,CodeGen,124.21600000000001
filepath-1.5.3.0,System.FilePath.Posix,Common sub-expression,0.016
filepath-1.5.3.0,System.FilePath.Posix,Constructed Product Result analysis,0.527
filepath-1.5.3.0,System.FilePath.Posix,CorePrep,1.9569999999999999
filepath-1.5.3.0,System.FilePath.Posix,CoreTidy,1.814
filepath-1.5.3.0,System.FilePath.Posix,CoreToStg,8.801
filepath-1.5.3.0,System.FilePath.Posix,Demand analysis,3.192
filepath-1.5.3.0,System.FilePath.Posix,Desugar,3.51
filepath-1.5.3.0,System.FilePath.Posix,Exitification transformation,0.015
filepath-1.5.3.0,System.FilePath.Posix,Float inwards,0.023
filepath-1.5.3.0,System.FilePath.Posix,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.144
filepath-1.5.3.0,System.FilePath.Posix,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",3.942
filepath-1.5.3.0,System.FilePath.Posix,Parser,8.163
filepath-1.5.3.0,System.FilePath.Posix,Renamer/typechecker,73.522
filepath-1.5.3.0,System.FilePath.Posix,Simplifier,206.763
filepath-1.5.3.0,System.FilePath.Posix,Specialise,1.457
filepath-1.5.3.0,System.FilePath.Posix,Worker Wrapper binds,0.23
filepath-1.5.3.0,System.FilePath.Windows,Called arity analysis,0.011
