package,module,phase,time
hashable-1.4.7.0,Data.Hashable,Called arity analysis,0.009
hashable-1.4.7.0,Data.Hashable,CodeGen,1.055
hashable-1.4.7.0,Data.Hashable,Common sub-expression,0.01
hashable-1.4.7.0,Data.Hashable,Constructed Product Result analysis,0.011
hashable-1.4.7.0,Data.Hashable,CorePrep,0.07500000000000001
hashable-1.4.7.0,Data.Hashable,CoreTidy,0.094
hashable-1.4.7.0,Data.Hashable,CoreToStg,0.116
hashable-1.4.7.0,Data.Hashable,Demand analysis,0.046
hashable-1.4.7.0,Data.Hashable,Desugar,0.032
hashable-1.4.7.0,Data.Hashable,Exitification transformation,0.025
hashable-1.4.7.0,Data.Hashable,Float inwards,0.018
hashable-1.4.7.0,Data.Hashable,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.046
hashable-1.4.7.0,Data.Hashable,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.026
hashable-1.4.7.0,Data.Hashable,Parser,0.53
hashable-1.4.7.0,Data.Hashable,Renamer/typechecker,0.49
hashable-1.4.7.0,Data.Hashable,Simplifier,0.34700000000000003
hashable-1.4.7.0,Data.Hashable,Specialise,0.019
hashable-1.4.7.0,Data.Hashable,Worker Wrapper binds,0.013
hashable-1.4.7.0,Data.Hashable.Class,Called arity analysis,0.028
hashable-1.4.7.0,Data.Hashable.Class,CodeGen,454.75199999999995
hashable-1.4.7.0,Data.Hashable.Class,Common sub-expression,0.014
hashable-1.4.7.0,Data.Hashable.Class,Constructed Product Result analysis,1.726
hashable-1.4.7.0,Data.Hashable.Class,CorePrep,91.77099999999999
hashable-1.4.7.0,Data.Hashable.Class,CoreTidy,15.851
hashable-1.4.7.0,Data.Hashable.Class,CoreToStg,56.346000000000004
hashable-1.4.7.0,Data.Hashable.Class,Demand analysis,32.653999999999996
hashable-1.4.7.0,Data.Hashable.Class,Desugar,12.571
hashable-1.4.7.0,Data.Hashable.Class,Exitification transformation,0.014
hashable-1.4.7.0,Data.Hashable.Class,Float inwards,0.026000000000000002
hashable-1.4.7.0,Data.Hashable.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",24.824
hashable-1.4.7.0,Data.Hashable.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",35.041
hashable-1.4.7.0,Data.Hashable.Class,Parser,12.567
hashable-1.4.7.0,Data.Hashable.Class,Renamer/typechecker,193.581
hashable-1.4.7.0,Data.Hashable.Class,Simplifier,884.078
hashable-1.4.7.0,Data.Hashable.Class,Specialise,3.389
hashable-1.4.7.0,Data.Hashable.Class,Worker Wrapper binds,1.604
hashable-1.4.7.0,Data.Hashable.FFI,Called arity analysis,0.009
hashable-1.4.7.0,Data.Hashable.FFI,CodeGen,41.945
hashable-1.4.7.0,Data.Hashable.FFI,Common sub-expression,0.013
hashable-1.4.7.0,Data.Hashable.FFI,Constructed Product Result analysis,0.084
hashable-1.4.7.0,Data.Hashable.FFI,CorePrep,0.7729999999999999
hashable-1.4.7.0,Data.Hashable.FFI,CoreTidy,0.414
hashable-1.4.7.0,Data.Hashable.FFI,CoreToStg,0.8460000000000001
hashable-1.4.7.0,Data.Hashable.FFI,Demand analysis,0.45099999999999996
hashable-1.4.7.0,Data.Hashable.FFI,Desugar,0.113
hashable-1.4.7.0,Data.Hashable.FFI,Exitification transformation,0.013
hashable-1.4.7.0,Data.Hashable.FFI,Float inwards,0.025
hashable-1.4.7.0,Data.Hashable.FFI,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.363
hashable-1.4.7.0,Data.Hashable.FFI,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.551
hashable-1.4.7.0,Data.Hashable.FFI,Parser,0.633
hashable-1.4.7.0,Data.Hashable.FFI,Renamer/typechecker,18.56
hashable-1.4.7.0,Data.Hashable.FFI,Simplifier,7.688
hashable-1.4.7.0,Data.Hashable.FFI,Specialise,0.082
hashable-1.4.7.0,Data.Hashable.FFI,Worker Wrapper binds,0.019
hashable-1.4.7.0,Data.Hashable.Generic,Called arity analysis,0.015
hashable-1.4.7.0,Data.Hashable.Generic,CodeGen,0.866
hashable-1.4.7.0,Data.Hashable.Generic,Common sub-expression,0.017
hashable-1.4.7.0,Data.Hashable.Generic,Constructed Product Result analysis,0.012
hashable-1.4.7.0,Data.Hashable.Generic,CorePrep,0.073
hashable-1.4.7.0,Data.Hashable.Generic,CoreTidy,0.064
hashable-1.4.7.0,Data.Hashable.Generic,CoreToStg,0.098
hashable-1.4.7.0,Data.Hashable.Generic,Demand analysis,0.052000000000000005
hashable-1.4.7.0,Data.Hashable.Generic,Desugar,0.035
hashable-1.4.7.0,Data.Hashable.Generic,Exitification transformation,0.01
hashable-1.4.7.0,Data.Hashable.Generic,Float inwards,0.025
hashable-1.4.7.0,Data.Hashable.Generic,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.084
hashable-1.4.7.0,Data.Hashable.Generic,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.036
hashable-1.4.7.0,Data.Hashable.Generic,Parser,0.195
hashable-1.4.7.0,Data.Hashable.Generic,Renamer/typechecker,0.523
hashable-1.4.7.0,Data.Hashable.Generic,Simplifier,0.502
hashable-1.4.7.0,Data.Hashable.Generic,Specialise,0.027
hashable-1.4.7.0,Data.Hashable.Generic,Worker Wrapper binds,0.011
hashable-1.4.7.0,Data.Hashable.Generic.Instances,Called arity analysis,0.011
hashable-1.4.7.0,Data.Hashable.Generic.Instances,CodeGen,27.040999999999997
hashable-1.4.7.0,Data.Hashable.Generic.Instances,Common sub-expression,0.014
hashable-1.4.7.0,Data.Hashable.Generic.Instances,Constructed Product Result analysis,0.161
hashable-1.4.7.0,Data.Hashable.Generic.Instances,CorePrep,0.8200000000000001
hashable-1.4.7.0,Data.Hashable.Generic.Instances,CoreTidy,0.752
hashable-1.4.7.0,Data.Hashable.Generic.Instances,CoreToStg,1.4220000000000002
