package,module,phase,time
http-client-0.7.17,Data.KeyedPool,Called arity analysis,0.01
http-client-0.7.17,Data.KeyedPool,CodeGen,155.47500000000002
http-client-0.7.17,Data.KeyedPool,Common sub-expression,0.017
http-client-0.7.17,Data.KeyedPool,Constructed Product Result analysis,0.791
http-client-0.7.17,Data.KeyedPool,CorePrep,3.6590000000000003
http-client-0.7.17,Data.KeyedPool,CoreTidy,4.2
http-client-0.7.17,Data.KeyedPool,CoreToStg,8.558
http-client-0.7.17,Data.KeyedPool,Demand analysis,5.476
http-client-0.7.17,Data.KeyedPool,Desugar,2.718
http-client-0.7.17,Data.KeyedPool,Exitification transformation,0.015
http-client-0.7.17,Data.KeyedPool,Float inwards,0.024
http-client-0.7.17,Data.KeyedPool,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",10.039
http-client-0.7.17,Data.KeyedPool,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",6.476
http-client-0.7.17,Data.KeyedPool,Parser,3.345
http-client-0.7.17,Data.KeyedPool,Renamer/typechecker,79.202
http-client-0.7.17,Data.KeyedPool,Simplifier,245.512
http-client-0.7.17,Data.KeyedPool,Specialise,1.343
http-client-0.7.17,Data.KeyedPool,Worker Wrapper binds,0.389
http-client-0.7.17,Network.HTTP.Client,Called arity analysis,0.017
http-client-0.7.17,Network.HTTP.Client,CodeGen,65.027
http-client-0.7.17,Network.HTTP.Client,Common sub-expression,0.013
http-client-0.7.17,Network.HTTP.Client,Constructed Product Result analysis,0.347
http-client-0.7.17,Network.HTTP.Client,CorePrep,1.9699999999999998
http-client-0.7.17,Network.HTTP.Client,CoreTidy,1.589
http-client-0.7.17,Network.HTTP.Client,CoreToStg,6.431
http-client-0.7.17,Network.HTTP.Client,Demand analysis,2.819
http-client-0.7.17,Network.HTTP.Client,Desugar,0.836
http-client-0.7.17,Network.HTTP.Client,Exitification transformation,0.012
http-client-0.7.17,Network.HTTP.Client,Float inwards,0.027000000000000003
http-client-0.7.17,Network.HTTP.Client,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",2.514
http-client-0.7.17,Network.HTTP.Client,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.182
http-client-0.7.17,Network.HTTP.Client,Parser,3.248
http-client-0.7.17,Network.HTTP.Client,Renamer/typechecker,44.167
http-client-0.7.17,Network.HTTP.Client,Simplifier,71.14699999999999
http-client-0.7.17,Network.HTTP.Client,Specialise,0.473
http-client-0.7.17,Network.HTTP.Client,Worker Wrapper binds,0.247
http-client-0.7.17,Network.HTTP.Client.Body,Called arity analysis,0.015
http-client-0.7.17,Network.HTTP.Client.Body,CodeGen,53.786
http-client-0.7.17,Network.HTTP.Client.Body,Common sub-expression,0.013
http-client-0.7.17,Network.HTTP.Client.Body,Constructed Product Result analysis,0.311
http-client-0.7.17,Network.HTTP.Client.Body,CorePrep,1.363
http-client-0.7.17,Network.HTTP.Client.Body,CoreTidy,0.996
http-client-0.7.17,Network.HTTP.Client.Body,CoreToStg,4.989
http-client-0.7.17,Network.HTTP.Client.Body,Demand analysis,1.9849999999999999
http-client-0.7.17,Network.HTTP.Client.Body,Desugar,1.503
http-client-0.7.17,Network.HTTP.Client.Body,Exitification transformation,0.02
http-client-0.7.17,Network.HTTP.Client.Body,Float inwards,0.034
http-client-0.7.17,Network.HTTP.Client.Body,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",2.807
http-client-0.7.17,Network.HTTP.Client.Body,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.123
http-client-0.7.17,Network.HTTP.Client.Body,Parser,1.82
http-client-0.7.17,Network.HTTP.Client.Body,Renamer/typechecker,11.447
http-client-0.7.17,Network.HTTP.Client.Body,Simplifier,64.134
http-client-0.7.17,Network.HTTP.Client.Body,Specialise,0.52
http-client-0.7.17,Network.HTTP.Client.Body,Worker Wrapper binds,0.118
http-client-0.7.17,Network.HTTP.Client.Connection,Called arity analysis,0.011
http-client-0.7.17,Network.HTTP.Client.Connection,CodeGen,94.158
http-client-0.7.17,Network.HTTP.Client.Connection,Common sub-expression,0.012
http-client-0.7.17,Network.HTTP.Client.Connection,Constructed Product Result analysis,0.533
http-client-0.7.17,Network.HTTP.Client.Connection,CorePrep,1.9020000000000001
http-client-0.7.17,Network.HTTP.Client.Connection,CoreTidy,1.529
http-client-0.7.17,Network.HTTP.Client.Connection,CoreToStg,8.479
http-client-0.7.17,Network.HTTP.Client.Connection,Demand analysis,3.322
http-client-0.7.17,Network.HTTP.Client.Connection,Desugar,1.115
http-client-0.7.17,Network.HTTP.Client.Connection,Exitification transformation,0.021
http-client-0.7.17,Network.HTTP.Client.Connection,Float inwards,0.028999999999999998
http-client-0.7.17,Network.HTTP.Client.Connection,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",3.221
http-client-0.7.17,Network.HTTP.Client.Connection,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.113
http-client-0.7.17,Network.HTTP.Client.Connection,Parser,3.42
http-client-0.7.17,Network.HTTP.Client.Connection,Renamer/typechecker,14.825
http-client-0.7.17,Network.HTTP.Client.Connection,Simplifier,136.147
http-client-0.7.17,Network.HTTP.Client.Connection,Specialise,0.732
http-client-0.7.17,Network.HTTP.Client.Connection,Worker Wrapper binds,0.25
http-client-0.7.17,Network.HTTP.Client.Cookies,Called arity analysis,0.01
http-client-0.7.17,Network.HTTP.Client.Cookies,CodeGen,130.183
http-client-0.7.17,Network.HTTP.Client.Cookies,Common sub-expression,0.013
http-client-0.7.17,Network.HTTP.Client.Cookies,Constructed Product Result analysis,0.625
http-client-0.7.17,Network.HTTP.Client.Cookies,CorePrep,3.101
http-client-0.7.17,Network.HTTP.Client.Cookies,CoreTidy,5.881
http-client-0.7.17,Network.HTTP.Client.Cookies,CoreToStg,11.966
http-client-0.7.17,Network.HTTP.Client.Cookies,Demand analysis,4.82
http-client-0.7.17,Network.HTTP.Client.Cookies,Desugar,2.423
http-client-0.7.17,Network.HTTP.Client.Cookies,Exitification transformation,0.015
http-client-0.7.17,Network.HTTP.Client.Cookies,Float inwards,0.022
http-client-0.7.17,Network.HTTP.Client.Cookies,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.794
