package,module,phase,time
lens-5.3.2,Aeson,Called arity analysis,0.011
lens-5.3.2,Aeson,CodeGen,9.256
lens-5.3.2,Aeson,Common sub-expression,0.016
lens-5.3.2,Aeson,Constructed Product Result analysis,0.036
lens-5.3.2,Aeson,CorePrep,1.47
lens-5.3.2,Aeson,CoreTidy,0.141
lens-5.3.2,Aeson,CoreToStg,2.1710000000000003
lens-5.3.2,Aeson,Demand analysis,0.522
lens-5.3.2,Aeson,Desugar,0.261
lens-5.3.2,Aeson,Exitification transformation,0.024
lens-5.3.2,Aeson,Float inwards,0.023
lens-5.3.2,Aeson,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.46
lens-5.3.2,Aeson,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.616
lens-5.3.2,Aeson,Parser,2.999
lens-5.3.2,Aeson,Renamer/typechecker,278.138
lens-5.3.2,Aeson,Simplifier,10.796
lens-5.3.2,Aeson,Specialise,0.118
lens-5.3.2,Aeson,Worker Wrapper binds,0.039
lens-5.3.2,Control.Exception.Lens,Called arity analysis,0.011
lens-5.3.2,Control.Exception.Lens,CodeGen,494.196
lens-5.3.2,Control.Exception.Lens,Common sub-expression,0.03
lens-5.3.2,Control.Exception.Lens,Constructed Product Result analysis,2.332
lens-5.3.2,Control.Exception.Lens,CorePrep,6.590999999999999
lens-5.3.2,Control.Exception.Lens,CoreTidy,10.153
lens-5.3.2,Control.Exception.Lens,CoreToStg,34.525
lens-5.3.2,Control.Exception.Lens,Demand analysis,26.96
lens-5.3.2,Control.Exception.Lens,Desugar,22.275
lens-5.3.2,Control.Exception.Lens,Exitification transformation,0.015
lens-5.3.2,Control.Exception.Lens,Float inwards,0.020999999999999998
lens-5.3.2,Control.Exception.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",14.206
lens-5.3.2,Control.Exception.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",14.177
lens-5.3.2,Control.Exception.Lens,Liberate case,0.013
lens-5.3.2,Control.Exception.Lens,Parser,14.87
lens-5.3.2,Control.Exception.Lens,Renamer/typechecker,66.457
lens-5.3.2,Control.Exception.Lens,Simplifier,611.718
lens-5.3.2,Control.Exception.Lens,SpecConstr,2.108
lens-5.3.2,Control.Exception.Lens,Specialise,4.069
lens-5.3.2,Control.Exception.Lens,Worker Wrapper binds,2.6
lens-5.3.2,Control.Lens,Called arity analysis,0.01
lens-5.3.2,Control.Lens,CodeGen,0.875
lens-5.3.2,Control.Lens,Common sub-expression,0.02
lens-5.3.2,Control.Lens,Constructed Product Result analysis,0.012
lens-5.3.2,Control.Lens,CorePrep,0.076
lens-5.3.2,Control.Lens,CoreTidy,0.069
lens-5.3.2,Control.Lens,CoreToStg,0.132
lens-5.3.2,Control.Lens,Demand analysis,0.049
lens-5.3.2,Control.Lens,Desugar,0.311
lens-5.3.2,Control.Lens,Exitification transformation,0.01
lens-5.3.2,Control.Lens,Float inwards,0.018
lens-5.3.2,Control.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.039
lens-5.3.2,Control.Lens,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.029
lens-5.3.2,Control.Lens,Liberate case,0.009
lens-5.3.2,Control.Lens,Parser,1.74
lens-5.3.2,Control.Lens,Renamer/typechecker,5.039
lens-5.3.2,Control.Lens,Simplifier,0.521
lens-5.3.2,Control.Lens,SpecConstr,0.016
lens-5.3.2,Control.Lens,Specialise,0.021
lens-5.3.2,Control.Lens,Worker Wrapper binds,0.011
lens-5.3.2,Control.Lens.At,Called arity analysis,0.01
lens-5.3.2,Control.Lens.At,CodeGen,285.85799999999995
lens-5.3.2,Control.Lens.At,Common sub-expression,0.033
lens-5.3.2,Control.Lens.At,Constructed Product Result analysis,1.813
lens-5.3.2,Control.Lens.At,CorePrep,5.258
lens-5.3.2,Control.Lens.At,CoreTidy,8.712
lens-5.3.2,Control.Lens.At,CoreToStg,28.289
lens-5.3.2,Control.Lens.At,Demand analysis,26.994
lens-5.3.2,Control.Lens.At,Desugar,5.764
lens-5.3.2,Control.Lens.At,Exitification transformation,0.016
lens-5.3.2,Control.Lens.At,Float inwards,0.025
lens-5.3.2,Control.Lens.At,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",19.394
lens-5.3.2,Control.Lens.At,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",17.631
lens-5.3.2,Control.Lens.At,Liberate case,0.014
lens-5.3.2,Control.Lens.At,Parser,7.396
lens-5.3.2,Control.Lens.At,Renamer/typechecker,45.481
lens-5.3.2,Control.Lens.At,Simplifier,1243.416
lens-5.3.2,Control.Lens.At,SpecConstr,3.823
lens-5.3.2,Control.Lens.At,Specialise,18.492
lens-5.3.2,Control.Lens.At,Worker Wrapper binds,0.927
lens-5.3.2,Control.Lens.Combinators,Called arity analysis,0.013
