package,module,phase,time
mtl-2.3.1,Control.Monad.Accum,Called arity analysis,0.019
mtl-2.3.1,Control.Monad.Accum,CodeGen,240.26999999999998
mtl-2.3.1,Control.Monad.Accum,Common sub-expression,0.023
mtl-2.3.1,Control.Monad.Accum,Constructed Product Result analysis,0.599
mtl-2.3.1,Control.Monad.Accum,CorePrep,9.335
mtl-2.3.1,Control.Monad.Accum,CoreTidy,5.591
mtl-2.3.1,Control.Monad.Accum,CoreToStg,12.707
mtl-2.3.1,Control.Monad.Accum,Demand analysis,8.1
mtl-2.3.1,Control.Monad.Accum,Desugar,7.723
mtl-2.3.1,Control.Monad.Accum,Exitification transformation,0.022
mtl-2.3.1,Control.Monad.Accum,Float inwards,0.04
mtl-2.3.1,Control.Monad.Accum,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",9.959
mtl-2.3.1,Control.Monad.Accum,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",10.374
mtl-2.3.1,Control.Monad.Accum,Parser,2.465
mtl-2.3.1,Control.Monad.Accum,Renamer/typechecker,118.686
mtl-2.3.1,Control.Monad.Accum,Simplifier,150.179
mtl-2.3.1,Control.Monad.Accum,Specialise,1.812
mtl-2.3.1,Control.Monad.Accum,Worker Wrapper binds,0.781
mtl-2.3.1,Control.Monad.Cont,Called arity analysis,0.018
mtl-2.3.1,Control.Monad.Cont,CodeGen,1.4969999999999999
mtl-2.3.1,Control.Monad.Cont,Common sub-expression,0.039
mtl-2.3.1,Control.Monad.Cont,Constructed Product Result analysis,0.022
mtl-2.3.1,Control.Monad.Cont,CorePrep,0.126
mtl-2.3.1,Control.Monad.Cont,CoreTidy,0.117
mtl-2.3.1,Control.Monad.Cont,CoreToStg,0.181
mtl-2.3.1,Control.Monad.Cont,Demand analysis,0.135
mtl-2.3.1,Control.Monad.Cont,Desugar,0.05
mtl-2.3.1,Control.Monad.Cont,Exitification transformation,0.018
mtl-2.3.1,Control.Monad.Cont,Float inwards,0.033
mtl-2.3.1,Control.Monad.Cont,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.08
mtl-2.3.1,Control.Monad.Cont,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.056
mtl-2.3.1,Control.Monad.Cont,Parser,0.525
mtl-2.3.1,Control.Monad.Cont,Renamer/typechecker,0.756
mtl-2.3.1,Control.Monad.Cont,Simplifier,0.75
mtl-2.3.1,Control.Monad.Cont,Specialise,0.033
mtl-2.3.1,Control.Monad.Cont,Worker Wrapper binds,0.025
mtl-2.3.1,Control.Monad.Cont.Class,Called arity analysis,0.02
mtl-2.3.1,Control.Monad.Cont.Class,CodeGen,155.528
mtl-2.3.1,Control.Monad.Cont.Class,Common sub-expression,0.028
mtl-2.3.1,Control.Monad.Cont.Class,Constructed Product Result analysis,0.345
mtl-2.3.1,Control.Monad.Cont.Class,CorePrep,3.9459999999999997
mtl-2.3.1,Control.Monad.Cont.Class,CoreTidy,1.869
mtl-2.3.1,Control.Monad.Cont.Class,CoreToStg,3.218
mtl-2.3.1,Control.Monad.Cont.Class,Demand analysis,4.251
mtl-2.3.1,Control.Monad.Cont.Class,Desugar,1.115
mtl-2.3.1,Control.Monad.Cont.Class,Exitification transformation,0.028
mtl-2.3.1,Control.Monad.Cont.Class,Float inwards,0.038
mtl-2.3.1,Control.Monad.Cont.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",4.273
mtl-2.3.1,Control.Monad.Cont.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",4.821
mtl-2.3.1,Control.Monad.Cont.Class,Parser,2.585
mtl-2.3.1,Control.Monad.Cont.Class,Renamer/typechecker,16.54
mtl-2.3.1,Control.Monad.Cont.Class,Simplifier,52.426
mtl-2.3.1,Control.Monad.Cont.Class,Specialise,0.715
mtl-2.3.1,Control.Monad.Cont.Class,Worker Wrapper binds,1.106
mtl-2.3.1,Control.Monad.Error.Class,Called arity analysis,0.02
mtl-2.3.1,Control.Monad.Error.Class,CodeGen,157.519
mtl-2.3.1,Control.Monad.Error.Class,Common sub-expression,0.031
mtl-2.3.1,Control.Monad.Error.Class,Constructed Product Result analysis,0.406
mtl-2.3.1,Control.Monad.Error.Class,CorePrep,2.795
mtl-2.3.1,Control.Monad.Error.Class,CoreTidy,2.821
mtl-2.3.1,Control.Monad.Error.Class,CoreToStg,9.371
mtl-2.3.1,Control.Monad.Error.Class,Demand analysis,4.64
mtl-2.3.1,Control.Monad.Error.Class,Desugar,2.045
