package,module,phase,time
network-3.2.1.0,Network.Socket,Called arity analysis,0.011
network-3.2.1.0,Network.Socket,CodeGen,1.181
network-3.2.1.0,Network.Socket,Common sub-expression,0.011
network-3.2.1.0,Network.Socket,Constructed Product Result analysis,0.014
network-3.2.1.0,Network.Socket,CorePrep,0.098
network-3.2.1.0,Network.Socket,CoreTidy,0.087
network-3.2.1.0,Network.Socket,CoreToStg,0.14700000000000002
network-3.2.1.0,Network.Socket,Demand analysis,0.086
network-3.2.1.0,Network.Socket,Desugar,0.194
network-3.2.1.0,Network.Socket,Exitification transformation,0.011
network-3.2.1.0,Network.Socket,Float inwards,0.02
network-3.2.1.0,Network.Socket,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.044
network-3.2.1.0,Network.Socket,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.035
network-3.2.1.0,Network.Socket,Parser,4.558
network-3.2.1.0,Network.Socket,Renamer/typechecker,1.836
network-3.2.1.0,Network.Socket,Simplifier,0.489
network-3.2.1.0,Network.Socket,Specialise,0.022
network-3.2.1.0,Network.Socket,Worker Wrapper binds,0.016
network-3.2.1.0,Network.Socket.Address,Called arity analysis,0.017
network-3.2.1.0,Network.Socket.Address,CodeGen,0.78
network-3.2.1.0,Network.Socket.Address,Common sub-expression,0.01
network-3.2.1.0,Network.Socket.Address,Constructed Product Result analysis,0.023
network-3.2.1.0,Network.Socket.Address,CorePrep,0.061
network-3.2.1.0,Network.Socket.Address,CoreTidy,0.051
network-3.2.1.0,Network.Socket.Address,CoreToStg,0.079
network-3.2.1.0,Network.Socket.Address,Demand analysis,0.082
network-3.2.1.0,Network.Socket.Address,Desugar,0.033
network-3.2.1.0,Network.Socket.Address,Exitification transformation,0.014
network-3.2.1.0,Network.Socket.Address,Float inwards,0.024
network-3.2.1.0,Network.Socket.Address,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.057
network-3.2.1.0,Network.Socket.Address,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.03
network-3.2.1.0,Network.Socket.Address,Parser,0.187
network-3.2.1.0,Network.Socket.Address,Renamer/typechecker,0.564
network-3.2.1.0,Network.Socket.Address,Simplifier,0.393
network-3.2.1.0,Network.Socket.Address,Specialise,0.02
network-3.2.1.0,Network.Socket.Address,Worker Wrapper binds,0.023
network-3.2.1.0,Network.Socket.Buffer,Called arity analysis,0.01
network-3.2.1.0,Network.Socket.Buffer,CodeGen,48.344
network-3.2.1.0,Network.Socket.Buffer,Common sub-expression,0.012
network-3.2.1.0,Network.Socket.Buffer,Constructed Product Result analysis,0.195
network-3.2.1.0,Network.Socket.Buffer,CorePrep,0.9490000000000001
network-3.2.1.0,Network.Socket.Buffer,CoreTidy,1.313
network-3.2.1.0,Network.Socket.Buffer,CoreToStg,5.508
network-3.2.1.0,Network.Socket.Buffer,Demand analysis,2.163
network-3.2.1.0,Network.Socket.Buffer,Desugar,1.404
network-3.2.1.0,Network.Socket.Buffer,Exitification transformation,0.013
network-3.2.1.0,Network.Socket.Buffer,Float inwards,0.02
network-3.2.1.0,Network.Socket.Buffer,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",2.209
network-3.2.1.0,Network.Socket.Buffer,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.183
network-3.2.1.0,Network.Socket.Buffer,Parser,3.588
network-3.2.1.0,Network.Socket.Buffer,Renamer/typechecker,9.339
network-3.2.1.0,Network.Socket.Buffer,Simplifier,66.242
network-3.2.1.0,Network.Socket.Buffer,Specialise,0.481
network-3.2.1.0,Network.Socket.Buffer,Worker Wrapper binds,0.128
network-3.2.1.0,Network.Socket.ByteString,Called arity analysis,0.016
network-3.2.1.0,Network.Socket.ByteString,CodeGen,6.464
network-3.2.1.0,Network.Socket.ByteString,Common sub-expression,0.011
network-3.2.1.0,Network.Socket.ByteString,Constructed Product Result analysis,0.056
network-3.2.1.0,Network.Socket.ByteString,CorePrep,0.281
network-3.2.1.0,Network.Socket.ByteString,CoreTidy,0.127
network-3.2.1.0,Network.Socket.ByteString,CoreToStg,0.427
network-3.2.1.0,Network.Socket.ByteString,Demand analysis,0.256
network-3.2.1.0,Network.Socket.ByteString,Desugar,0.064
network-3.2.1.0,Network.Socket.ByteString,Exitification transformation,0.011
network-3.2.1.0,Network.Socket.ByteString,Float inwards,0.022
network-3.2.1.0,Network.Socket.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.163
network-3.2.1.0,Network.Socket.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.192
network-3.2.1.0,Network.Socket.ByteString,Parser,0.935
