package,module,phase,time
optparse-applicative-0.18.1.0,Options.Applicative,Called arity analysis,0.01
optparse-applicative-0.18.1.0,Options.Applicative,CodeGen,1.5270000000000001
optparse-applicative-0.18.1.0,Options.Applicative,Common sub-expression,0.015
optparse-applicative-0.18.1.0,Options.Applicative,Constructed Product Result analysis,0.012
optparse-applicative-0.18.1.0,Options.Applicative,CorePrep,0.069
optparse-applicative-0.18.1.0,Options.Applicative,CoreTidy,0.071
optparse-applicative-0.18.1.0,Options.Applicative,CoreToStg,0.111
optparse-applicative-0.18.1.0,Options.Applicative,Demand analysis,0.048
optparse-applicative-0.18.1.0,Options.Applicative,Desugar,0.058
optparse-applicative-0.18.1.0,Options.Applicative,Exitification transformation,0.011
optparse-applicative-0.18.1.0,Options.Applicative,Float inwards,0.019
optparse-applicative-0.18.1.0,Options.Applicative,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.037
optparse-applicative-0.18.1.0,Options.Applicative,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.039
optparse-applicative-0.18.1.0,Options.Applicative,Parser,0.639
optparse-applicative-0.18.1.0,Options.Applicative,Renamer/typechecker,0.789
optparse-applicative-0.18.1.0,Options.Applicative,Simplifier,0.367
optparse-applicative-0.18.1.0,Options.Applicative,Specialise,0.019
optparse-applicative-0.18.1.0,Options.Applicative,Worker Wrapper binds,0.013
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,Called arity analysis,0.011
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,CodeGen,20.583
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,Common sub-expression,0.015
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,Constructed Product Result analysis,0.062
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,CorePrep,0.5209999999999999
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,CoreTidy,0.451
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,CoreToStg,0.8160000000000001
optparse-applicative-0.18.1.0,Options.Applicative.Arrows,Demand analysis,0.577
