package,module,phase,time
parsec-3.1.17.0,Text.Parsec,Called arity analysis,0.01
parsec-3.1.17.0,Text.Parsec,CodeGen,0.8180000000000001
parsec-3.1.17.0,Text.Parsec,Common sub-expression,0.01
parsec-3.1.17.0,Text.Parsec,Constructed Product Result analysis,0.022
parsec-3.1.17.0,Text.Parsec,CorePrep,0.085
parsec-3.1.17.0,Text.Parsec,CoreTidy,0.082
parsec-3.1.17.0,Text.Parsec,CoreToStg,0.099
parsec-3.1.17.0,Text.Parsec,Demand analysis,0.063
parsec-3.1.17.0,Text.Parsec,Desugar,0.042
parsec-3.1.17.0,Text.Parsec,Exitification transformation,0.019
parsec-3.1.17.0,Text.Parsec,Float inwards,0.016
parsec-3.1.17.0,Text.Parsec,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.038
parsec-3.1.17.0,Text.Parsec,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.037
parsec-3.1.17.0,Text.Parsec,Parser,0.566
parsec-3.1.17.0,Text.Parsec,Renamer/typechecker,0.857
parsec-3.1.17.0,Text.Parsec,Simplifier,0.383
parsec-3.1.17.0,Text.Parsec,Specialise,0.019
parsec-3.1.17.0,Text.Parsec,Worker Wrapper binds,0.013
parsec-3.1.17.0,Text.Parsec.ByteString,Called arity analysis,0.01
parsec-3.1.17.0,Text.Parsec.ByteString,CodeGen,9.932
parsec-3.1.17.0,Text.Parsec.ByteString,Common sub-expression,0.01
parsec-3.1.17.0,Text.Parsec.ByteString,Constructed Product Result analysis,0.06
parsec-3.1.17.0,Text.Parsec.ByteString,CorePrep,0.179
parsec-3.1.17.0,Text.Parsec.ByteString,CoreTidy,0.207
parsec-3.1.17.0,Text.Parsec.ByteString,CoreToStg,0.428
parsec-3.1.17.0,Text.Parsec.ByteString,Demand analysis,0.259
parsec-3.1.17.0,Text.Parsec.ByteString,Desugar,0.08
parsec-3.1.17.0,Text.Parsec.ByteString,Exitification transformation,0.01
parsec-3.1.17.0,Text.Parsec.ByteString,Float inwards,0.019
parsec-3.1.17.0,Text.Parsec.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.381
parsec-3.1.17.0,Text.Parsec.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.305
parsec-3.1.17.0,Text.Parsec.ByteString,Parser,0.673
parsec-3.1.17.0,Text.Parsec.ByteString,Renamer/typechecker,1.415
parsec-3.1.17.0,Text.Parsec.ByteString,Simplifier,3.9179999999999997
parsec-3.1.17.0,Text.Parsec.ByteString,Specialise,0.116
parsec-3.1.17.0,Text.Parsec.ByteString,Worker Wrapper binds,0.055
parsec-3.1.17.0,Text.Parsec.ByteString.Lazy,Called arity analysis,0.01
parsec-3.1.17.0,Text.Parsec.ByteString.Lazy,CodeGen,10.92
