package,module,phase,time
process-1.6.20.0,System.Cmd,Called arity analysis,0.01
process-1.6.20.0,System.Cmd,CodeGen,0.881
process-1.6.20.0,System.Cmd,Common sub-expression,0.009
process-1.6.20.0,System.Cmd,Constructed Product Result analysis,0.011
process-1.6.20.0,System.Cmd,CorePrep,0.066
process-1.6.20.0,System.Cmd,CoreTidy,0.048
process-1.6.20.0,System.Cmd,CoreToStg,0.08499999999999999
process-1.6.20.0,System.Cmd,Demand analysis,0.046
process-1.6.20.0,System.Cmd,Desugar,0.087
process-1.6.20.0,System.Cmd,Exitification transformation,0.009
process-1.6.20.0,System.Cmd,Float inwards,0.016
process-1.6.20.0,System.Cmd,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.036
process-1.6.20.0,System.Cmd,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.026
process-1.6.20.0,System.Cmd,Parser,1.45
process-1.6.20.0,System.Cmd,Renamer/typechecker,0.436
process-1.6.20.0,System.Cmd,Simplifier,0.32
process-1.6.20.0,System.Cmd,Specialise,0.018
process-1.6.20.0,System.Cmd,Worker Wrapper binds,0.01
process-1.6.20.0,System.Process,Called arity analysis,0.01
process-1.6.20.0,System.Process,CodeGen,162.819
process-1.6.20.0,System.Process,Common sub-expression,0.013
process-1.6.20.0,System.Process,Constructed Product Result analysis,0.505
process-1.6.20.0,System.Process,CorePrep,2.7560000000000002
process-1.6.20.0,System.Process,CoreTidy,5.406
process-1.6.20.0,System.Process,CoreToStg,10.849
process-1.6.20.0,System.Process,Demand analysis,4.409000000000001
process-1.6.20.0,System.Process,Desugar,2.428
process-1.6.20.0,System.Process,Exitification transformation,0.012
process-1.6.20.0,System.Process,Float inwards,0.025
process-1.6.20.0,System.Process,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",9.521
process-1.6.20.0,System.Process,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",5.365
process-1.6.20.0,System.Process,Parser,7.32
process-1.6.20.0,System.Process,Renamer/typechecker,68.662
process-1.6.20.0,System.Process,Simplifier,172.194
process-1.6.20.0,System.Process,Specialise,0.929
process-1.6.20.0,System.Process,Worker Wrapper binds,1.874
process-1.6.20.0,System.Process.Common,Called arity analysis,0.011
process-1.6.20.0,System.Process.Common,CodeGen,166.961
process-1.6.20.0,System.Process.Common,Common sub-expression,0.014
process-1.6.20.0,System.Process.Common,Constructed Product Result analysis,0.402
process-1.6.20.0,System.Process.Common,CorePrep,3.566
process-1.6.20.0,System.Process.Common,CoreTidy,2.489
process-1.6.20.0,System.Process.Common,CoreToStg,10.419
process-1.6.20.0,System.Process.Common,Demand analysis,3.839
process-1.6.20.0,System.Process.Common,Desugar,3.908
process-1.6.20.0,System.Process.Common,Exitification transformation,0.015
process-1.6.20.0,System.Process.Common,Float inwards,0.020999999999999998
process-1.6.20.0,System.Process.Common,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",6.06
process-1.6.20.0,System.Process.Common,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",5.244
process-1.6.20.0,System.Process.Common,Parser,2.79
process-1.6.20.0,System.Process.Common,Renamer/typechecker,90.72
process-1.6.20.0,System.Process.Common,Simplifier,182.191
process-1.6.20.0,System.Process.Common,Specialise,1.825
process-1.6.20.0,System.Process.Common,Worker Wrapper binds,0.188
process-1.6.20.0,System.Process.CommunicationHandle,Called arity analysis,0.011
process-1.6.20.0,System.Process.CommunicationHandle,CodeGen,11.870000000000001
process-1.6.20.0,System.Process.CommunicationHandle,Common sub-expression,0.01
process-1.6.20.0,System.Process.CommunicationHandle,Constructed Product Result analysis,0.082
process-1.6.20.0,System.Process.CommunicationHandle,CorePrep,0.387
process-1.6.20.0,System.Process.CommunicationHandle,CoreTidy,0.315
process-1.6.20.0,System.Process.CommunicationHandle,CoreToStg,1.042
process-1.6.20.0,System.Process.CommunicationHandle,Demand analysis,0.427
process-1.6.20.0,System.Process.CommunicationHandle,Desugar,0.258
process-1.6.20.0,System.Process.CommunicationHandle,Exitification transformation,0.011
process-1.6.20.0,System.Process.CommunicationHandle,Float inwards,0.019
process-1.6.20.0,System.Process.CommunicationHandle,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.413
process-1.6.20.0,System.Process.CommunicationHandle,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.423
process-1.6.20.0,System.Process.CommunicationHandle,Parser,1.186
process-1.6.20.0,System.Process.CommunicationHandle,Renamer/typechecker,2.097
process-1.6.20.0,System.Process.CommunicationHandle,Simplifier,7.59
process-1.6.20.0,System.Process.CommunicationHandle,Specialise,0.073
process-1.6.20.0,System.Process.CommunicationHandle,Worker Wrapper binds,0.061
process-1.6.20.0,System.Process.CommunicationHandle.Internal,Called arity analysis,0.012
process-1.6.20.0,System.Process.CommunicationHandle.Internal,CodeGen,14.686
process-1.6.20.0,System.Process.CommunicationHandle.Internal,Common sub-expression,0.014
