package,module,phase,time
text-2.1.1,Data.Text,Called arity analysis,0.01
text-2.1.1,Data.Text,CodeGen,1155.3600000000001
text-2.1.1,Data.Text,Common sub-expression,0.027
text-2.1.1,Data.Text,Constructed Product Result analysis,11.046
text-2.1.1,Data.Text,CorePrep,51.949000000000005
text-2.1.1,Data.Text,CoreTidy,33.093
text-2.1.1,Data.Text,CoreToStg,760.822
text-2.1.1,Data.Text,Demand analysis,121.67999999999999
text-2.1.1,Data.Text,Desugar,7.996
text-2.1.1,Data.Text,Exitification transformation,0.013
text-2.1.1,Data.Text,Float inwards,0.020999999999999998
text-2.1.1,Data.Text,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",44.025
text-2.1.1,Data.Text,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",91.837
text-2.1.1,Data.Text,Liberate case,0.011
text-2.1.1,Data.Text,Parser,20.07
text-2.1.1,Data.Text,Renamer/typechecker,253.886
text-2.1.1,Data.Text,Simplifier,5141.739
text-2.1.1,Data.Text,SpecConstr,53.277
text-2.1.1,Data.Text,Specialise,6.037
text-2.1.1,Data.Text,Worker Wrapper binds,3.632
text-2.1.1,Data.Text.Array,Called arity analysis,0.012
text-2.1.1,Data.Text.Array,CodeGen,29.674
text-2.1.1,Data.Text.Array,Common sub-expression,0.028999999999999998
text-2.1.1,Data.Text.Array,Constructed Product Result analysis,0.134
text-2.1.1,Data.Text.Array,CorePrep,1.026
text-2.1.1,Data.Text.Array,CoreTidy,0.583
text-2.1.1,Data.Text.Array,CoreToStg,3.359
text-2.1.1,Data.Text.Array,Demand analysis,2.222
text-2.1.1,Data.Text.Array,Desugar,2.378
text-2.1.1,Data.Text.Array,Exitification transformation,0.013
text-2.1.1,Data.Text.Array,Float inwards,0.029
text-2.1.1,Data.Text.Array,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.972
text-2.1.1,Data.Text.Array,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",1.163
text-2.1.1,Data.Text.Array,Liberate case,0.013
text-2.1.1,Data.Text.Array,Parser,3.921
text-2.1.1,Data.Text.Array,Renamer/typechecker,41.737
text-2.1.1,Data.Text.Array,Simplifier,39.152
text-2.1.1,Data.Text.Array,SpecConstr,0.402
text-2.1.1,Data.Text.Array,Specialise,0.445
text-2.1.1,Data.Text.Array,Worker Wrapper binds,0.065
text-2.1.1,Data.Text.Encoding,Called arity analysis,0.01
text-2.1.1,Data.Text.Encoding,CodeGen,181.582
text-2.1.1,Data.Text.Encoding,Common sub-expression,0.033
text-2.1.1,Data.Text.Encoding,Constructed Product Result analysis,1.243
text-2.1.1,Data.Text.Encoding,CorePrep,6.848
text-2.1.1,Data.Text.Encoding,CoreTidy,4.626
text-2.1.1,Data.Text.Encoding,CoreToStg,44.611
text-2.1.1,Data.Text.Encoding,Demand analysis,17.762
text-2.1.1,Data.Text.Encoding,Desugar,1.461
text-2.1.1,Data.Text.Encoding,Exitification transformation,0.014
text-2.1.1,Data.Text.Encoding,Float inwards,0.020999999999999998
text-2.1.1,Data.Text.Encoding,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",17.641
text-2.1.1,Data.Text.Encoding,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",16.949
text-2.1.1,Data.Text.Encoding,Liberate case,0.011
text-2.1.1,Data.Text.Encoding,Parser,3.94
text-2.1.1,Data.Text.Encoding,Renamer/typechecker,18.478
text-2.1.1,Data.Text.Encoding,Simplifier,739.957
text-2.1.1,Data.Text.Encoding,SpecConstr,2.868
text-2.1.1,Data.Text.Encoding,Specialise,1.717
text-2.1.1,Data.Text.Encoding,Worker Wrapper binds,0.539
text-2.1.1,Data.Text.Encoding.Error,Called arity analysis,0.014
text-2.1.1,Data.Text.Encoding.Error,CodeGen,35.546
text-2.1.1,Data.Text.Encoding.Error,Common sub-expression,0.027
text-2.1.1,Data.Text.Encoding.Error,Constructed Product Result analysis,0.149
text-2.1.1,Data.Text.Encoding.Error,CorePrep,0.451
text-2.1.1,Data.Text.Encoding.Error,CoreTidy,0.894
text-2.1.1,Data.Text.Encoding.Error,CoreToStg,1.568
text-2.1.1,Data.Text.Encoding.Error,Demand analysis,1.9500000000000002
text-2.1.1,Data.Text.Encoding.Error,Desugar,0.75
text-2.1.1,Data.Text.Encoding.Error,Exitification transformation,0.013
text-2.1.1,Data.Text.Encoding.Error,Float inwards,0.024
text-2.1.1,Data.Text.Encoding.Error,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.949
text-2.1.1,Data.Text.Encoding.Error,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.95
text-2.1.1,Data.Text.Encoding.Error,Liberate case,0.012
text-2.1.1,Data.Text.Encoding.Error,Parser,1.814
text-2.1.1,Data.Text.Encoding.Error,Renamer/typechecker,50.943
text-2.1.1,Data.Text.Encoding.Error,Simplifier,65.064
text-2.1.1,Data.Text.Encoding.Error,SpecConstr,0.48
text-2.1.1,Data.Text.Encoding.Error,Specialise,0.693
text-2.1.1,Data.Text.Encoding.Error,Worker Wrapper binds,0.094
text-2.1.1,Data.Text.Foreign,Called arity analysis,0.011
text-2.1.1,Data.Text.Foreign,CodeGen,40.95
text-2.1.1,Data.Text.Foreign,Common sub-expression,0.025
text-2.1.1,Data.Text.Foreign,Constructed Product Result analysis,0.517
text-2.1.1,Data.Text.Foreign,CorePrep,0.771
text-2.1.1,Data.Text.Foreign,CoreTidy,1.005
text-2.1.1,Data.Text.Foreign,CoreToStg,3.5700000000000003
text-2.1.1,Data.Text.Foreign,Demand analysis,2.7190000000000003
text-2.1.1,Data.Text.Foreign,Desugar,1.05
text-2.1.1,Data.Text.Foreign,Exitification transformation,0.013
text-2.1.1,Data.Text.Foreign,Float inwards,0.024
text-2.1.1,Data.Text.Foreign,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",1.132
text-2.1.1,Data.Text.Foreign,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",1.75
text-2.1.1,Data.Text.Foreign,Liberate case,0.01
text-2.1.1,Data.Text.Foreign,Parser,1.932
text-2.1.1,Data.Text.Foreign,Renamer/typechecker,17.866
text-2.1.1,Data.Text.Foreign,Simplifier,71.68
text-2.1.1,Data.Text.Foreign,SpecConstr,0.3
text-2.1.1,Data.Text.Foreign,Specialise,0.339
text-2.1.1,Data.Text.Foreign,Worker Wrapper binds,0.3
