package,module,total_time,parser_time,parser_percentage,size,extension
time-1.14,Data.Format,339.689,3.551,1.0453679689362918,305,.hs
time-1.14,Data.Time,3.17,0.229,7.2239747634069404,1536,.hs
time-1.14,Data.Time.Calendar,3.0189999999999997,0.192,6.359721762172906,389,.hs
time-1.14,Data.Time.Calendar.CalendarDiffDays,271.003,0.526,0.19409379231964224,1501,.hs
time-1.14,Data.Time.Calendar.Days,171.797,1.571,0.9144513582891436,3455,.hs
time-1.14,Data.Time.Calendar.Easter,29.676000000000002,0.776,2.614907669497237,1606,.hs
time-1.14,Data.Time.Calendar.Gregorian,81.876,1.814,2.2155454589867603,6827,.hs
time-1.14,Data.Time.Calendar.Julian,79.594,1.481,1.860693017061588,6271,.hs
time-1.14,Data.Time.Calendar.JulianYearDay,33.272,0.61,1.8333734070690069,1981,.hs
time-1.14,Data.Time.Calendar.Month,186.107,1.258,0.675955230055828,3092,.hs
time-1.14,Data.Time.Calendar.MonthDay,53.62100000000001,0.8,1.4919527796945224,2925,.hs
time-1.14,Data.Time.Calendar.OrdinalDate,90.52799999999999,1.878,2.074496288441145,7504,.hs
time-1.14,Data.Time.Calendar.Private,75.942,0.799,1.0521187221827184,1853,.hs
time-1.14,Data.Time.Calendar.Quarter,475.24099999999993,1.612,0.3391963235495255,4484,.hs
time-1.14,Data.Time.Calendar.Types,26.048000000000002,0.706,2.710380835380835,1929,.hs
time-1.14,Data.Time.Calendar.Week,329.81,0.89,0.26985233922561475,3612,.hs
time-1.14,Data.Time.Calendar.WeekDate,116.861,1.26,1.0782040201607037,5104,.hs
time-1.14,Data.Time.Clock,2.8299999999999996,0.227,8.021201413427564,732,.hs
time-1.14,Data.Time.Clock.Internal.AbsoluteTime,100.50899999999999,0.869,0.8645991901222777,1235,.hs
time-1.14,Data.Time.Clock.Internal.CTimespec,95.73,1.051,1.0978794526271807,2662,.hsc
time-1.14,Data.Time.Clock.Internal.CTimeval,46.096,1.166,2.5295036445678583,1193,.hs
time-1.14,Data.Time.Clock.Internal.DiffTime,182.626,1.41,0.7720696943480116,3495,.hs
time-1.14,Data.Time.Clock.Internal.NominalDiffTime,182.463,1.53,0.8385261669489157,4400,.hs
time-1.14,Data.Time.Clock.Internal.POSIXTime,3.2580000000000005,0.2,6.138735420503376,415,.hs
time-1.14,Data.Time.Clock.Internal.SystemTime,292.70799999999997,1.353,0.46223540183390965,3628,.hs
time-1.14,Data.Time.Clock.Internal.UTCDiff,9.57,0.295,3.082549634273772,494,.hs
time-1.14,Data.Time.Clock.Internal.UTCTime,155.835,0.635,0.4074822729168672,1562,.hs
time-1.14,Data.Time.Clock.Internal.UniversalTime,98.85500000000002,0.301,0.3044863689241818,697,.hs
time-1.14,Data.Time.Clock.POSIX,29.026999999999997,0.841,2.8973025114548525,1663,.hs
time-1.14,Data.Time.Clock.System,32.49699999999999,0.747,2.2986737237283448,2962,.hs
time-1.14,Data.Time.Clock.TAI,53.72200000000001,0.858,1.597111053199806,2282,.hs
time-1.14,Data.Time.Format,2.551,0.168,6.585652685221481,305,.hs
time-1.14,Data.Time.Format.Format.Class,115.625,2.187,1.8914594594594591,13395,.hs
time-1.14,Data.Time.Format.Format.Instances,438.608,2.289,0.5218783059132529,10823,.hs
time-1.14,Data.Time.Format.ISO8601,973.89,5.639,0.5790181642690654,18219,.hs
time-1.14,Data.Time.Format.Internal,2.9789999999999996,0.15,5.0352467270896275,466,.hs
time-1.14,Data.Time.Format.Locale,149.762,0.647,0.43201880316769276,3308,.hs
time-1.14,Data.Time.Format.Parse,196.11100000000005,1.552,0.7913885503617848,7914,.hs
time-1.14,Data.Time.Format.Parse.Class,389.87100000000004,2.716,0.6966406837133308,10928,.hs
time-1.14,Data.Time.Format.Parse.Instances,500.33000000000004,5.339,1.0670957168268942,17596,.hs
time-1.14,Data.Time.LocalTime,3.149,0.484,15.36995871705303,2942,.hs
time-1.14,Data.Time.LocalTime.Internal.CalendarDiffTime,132.411,0.611,0.4614420252093859,1478,.hs
time-1.14,Data.Time.LocalTime.Internal.LocalTime,210.847,0.98,0.46479200557750405,2942,.hs
time-1.14,Data.Time.LocalTime.Internal.TimeOfDay,305.834,1.324,0.432914587652125,4498,.hs
time-1.14,Data.Time.LocalTime.Internal.TimeZone,253.66299999999998,1.798,0.7088144506688008,5540,.hs
time-1.14,Data.Time.LocalTime.Internal.ZonedTime,134.163,1.061,0.7908290661359687,1643,.hs
