package,module,phase,time
time-1.14,Data.Format,Called arity analysis,0.01
time-1.14,Data.Format,CodeGen,119.333
time-1.14,Data.Format,Common sub-expression,0.013
time-1.14,Data.Format,Constructed Product Result analysis,0.415
time-1.14,Data.Format,CorePrep,6.634
time-1.14,Data.Format,CoreTidy,1.729
time-1.14,Data.Format,CoreToStg,8.530999999999999
time-1.14,Data.Format,Demand analysis,4.276
time-1.14,Data.Format,Desugar,1.806
time-1.14,Data.Format,Exitification transformation,0.014
time-1.14,Data.Format,Float inwards,0.020999999999999998
time-1.14,Data.Format,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",3.933
time-1.14,Data.Format,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",5.536
time-1.14,Data.Format,Parser,3.551
time-1.14,Data.Format,Renamer/typechecker,73.443
time-1.14,Data.Format,Simplifier,109.643
time-1.14,Data.Format,Specialise,0.516
time-1.14,Data.Format,Worker Wrapper binds,0.285
time-1.14,Data.Time,Called arity analysis,0.01
time-1.14,Data.Time,CodeGen,0.836
time-1.14,Data.Time,Common sub-expression,0.019
time-1.14,Data.Time,Constructed Product Result analysis,0.025
time-1.14,Data.Time,CorePrep,0.074
time-1.14,Data.Time,CoreTidy,0.059
time-1.14,Data.Time,CoreToStg,0.1
time-1.14,Data.Time,Demand analysis,0.059000000000000004
time-1.14,Data.Time,Desugar,0.075
time-1.14,Data.Time,Exitification transformation,0.013
time-1.14,Data.Time,Float inwards,0.026999999999999996
time-1.14,Data.Time,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.046
time-1.14,Data.Time,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.045
time-1.14,Data.Time,Parser,0.229
time-1.14,Data.Time,Renamer/typechecker,1.037
time-1.14,Data.Time,Simplifier,0.479
time-1.14,Data.Time,Specialise,0.019
time-1.14,Data.Time,Worker Wrapper binds,0.018
time-1.14,Data.Time.Calendar,Called arity analysis,0.009
time-1.14,Data.Time.Calendar,CodeGen,0.8560000000000001
time-1.14,Data.Time.Calendar,Common sub-expression,0.009
time-1.14,Data.Time.Calendar,Constructed Product Result analysis,0.014
time-1.14,Data.Time.Calendar,CorePrep,0.068
time-1.14,Data.Time.Calendar,CoreTidy,0.049
time-1.14,Data.Time.Calendar,CoreToStg,0.094
time-1.14,Data.Time.Calendar,Demand analysis,0.05
time-1.14,Data.Time.Calendar,Desugar,0.126
time-1.14,Data.Time.Calendar,Exitification transformation,0.012
time-1.14,Data.Time.Calendar,Float inwards,0.018
time-1.14,Data.Time.Calendar,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.042
time-1.14,Data.Time.Calendar,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.029
time-1.14,Data.Time.Calendar,Parser,0.192
time-1.14,Data.Time.Calendar,Renamer/typechecker,0.864
time-1.14,Data.Time.Calendar,Simplifier,0.533
time-1.14,Data.Time.Calendar,Specialise,0.038
time-1.14,Data.Time.Calendar,Worker Wrapper binds,0.016
time-1.14,Data.Time.Calendar.CalendarDiffDays,Called arity analysis,0.015
time-1.14,Data.Time.Calendar.CalendarDiffDays,CodeGen,74.834
time-1.14,Data.Time.Calendar.CalendarDiffDays,Common sub-expression,0.014
time-1.14,Data.Time.Calendar.CalendarDiffDays,Constructed Product Result analysis,0.278
time-1.14,Data.Time.Calendar.CalendarDiffDays,CorePrep,0.9219999999999999
time-1.14,Data.Time.Calendar.CalendarDiffDays,CoreTidy,1.262
time-1.14,Data.Time.Calendar.CalendarDiffDays,CoreToStg,2.337
time-1.14,Data.Time.Calendar.CalendarDiffDays,Demand analysis,2.036
time-1.14,Data.Time.Calendar.CalendarDiffDays,Desugar,5.433
time-1.14,Data.Time.Calendar.CalendarDiffDays,Exitification transformation,0.016
time-1.14,Data.Time.Calendar.CalendarDiffDays,Float inwards,0.025
time-1.14,Data.Time.Calendar.CalendarDiffDays,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",2.164
time-1.14,Data.Time.Calendar.CalendarDiffDays,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",2.479
time-1.14,Data.Time.Calendar.CalendarDiffDays,Parser,0.526
time-1.14,Data.Time.Calendar.CalendarDiffDays,Renamer/typechecker,115.435
time-1.14,Data.Time.Calendar.CalendarDiffDays,Simplifier,61.941
time-1.14,Data.Time.Calendar.CalendarDiffDays,Specialise,1.067
time-1.14,Data.Time.Calendar.CalendarDiffDays,Worker Wrapper binds,0.219
time-1.14,Data.Time.Calendar.Days,Called arity analysis,0.013
time-1.14,Data.Time.Calendar.Days,CodeGen,77.63300000000001
time-1.14,Data.Time.Calendar.Days,Common sub-expression,0.012
time-1.14,Data.Time.Calendar.Days,Constructed Product Result analysis,0.208
time-1.14,Data.Time.Calendar.Days,CorePrep,1.066
time-1.14,Data.Time.Calendar.Days,CoreTidy,1.748
