package,module,phase,time
transformers-0.6.1.1,Control.Applicative.Backwards,Called arity analysis,0.037
transformers-0.6.1.1,Control.Applicative.Backwards,CodeGen,197.336
transformers-0.6.1.1,Control.Applicative.Backwards,Common sub-expression,0.031
transformers-0.6.1.1,Control.Applicative.Backwards,Constructed Product Result analysis,0.722
transformers-0.6.1.1,Control.Applicative.Backwards,CorePrep,4.168
transformers-0.6.1.1,Control.Applicative.Backwards,CoreTidy,4.741
transformers-0.6.1.1,Control.Applicative.Backwards,CoreToStg,14.189
transformers-0.6.1.1,Control.Applicative.Backwards,Demand analysis,8.125
transformers-0.6.1.1,Control.Applicative.Backwards,Desugar,2.28
transformers-0.6.1.1,Control.Applicative.Backwards,Exitification transformation,0.031
transformers-0.6.1.1,Control.Applicative.Backwards,Float inwards,0.045
transformers-0.6.1.1,Control.Applicative.Backwards,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",6.762
transformers-0.6.1.1,Control.Applicative.Backwards,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",12.904
transformers-0.6.1.1,Control.Applicative.Backwards,Parser,4.437
transformers-0.6.1.1,Control.Applicative.Backwards,Renamer/typechecker,264.214
transformers-0.6.1.1,Control.Applicative.Backwards,Simplifier,170.085
transformers-0.6.1.1,Control.Applicative.Backwards,Specialise,1.223
transformers-0.6.1.1,Control.Applicative.Backwards,Worker Wrapper binds,0.618
transformers-0.6.1.1,Control.Applicative.Lift,Called arity analysis,0.009
transformers-0.6.1.1,Control.Applicative.Lift,CodeGen,138.56599999999997
transformers-0.6.1.1,Control.Applicative.Lift,Common sub-expression,0.011
transformers-0.6.1.1,Control.Applicative.Lift,Constructed Product Result analysis,0.4
transformers-0.6.1.1,Control.Applicative.Lift,CorePrep,1.81
transformers-0.6.1.1,Control.Applicative.Lift,CoreTidy,4.907
transformers-0.6.1.1,Control.Applicative.Lift,CoreToStg,4.720000000000001
transformers-0.6.1.1,Control.Applicative.Lift,Demand analysis,4.595000000000001
transformers-0.6.1.1,Control.Applicative.Lift,Desugar,2.789
transformers-0.6.1.1,Control.Applicative.Lift,Exitification transformation,0.015
transformers-0.6.1.1,Control.Applicative.Lift,Float inwards,0.019
transformers-0.6.1.1,Control.Applicative.Lift,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",5.837
transformers-0.6.1.1,Control.Applicative.Lift,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",5.019
transformers-0.6.1.1,Control.Applicative.Lift,Parser,2.446
transformers-0.6.1.1,Control.Applicative.Lift,Renamer/typechecker,11.876
transformers-0.6.1.1,Control.Applicative.Lift,Simplifier,152.585
transformers-0.6.1.1,Control.Applicative.Lift,Specialise,0.744
transformers-0.6.1.1,Control.Applicative.Lift,Worker Wrapper binds,1.732
transformers-0.6.1.1,Control.Monad.Signatures,Called arity analysis,0.035
transformers-0.6.1.1,Control.Monad.Signatures,CodeGen,1.6019999999999999
transformers-0.6.1.1,Control.Monad.Signatures,Common sub-expression,0.019
transformers-0.6.1.1,Control.Monad.Signatures,Constructed Product Result analysis,0.023
transformers-0.6.1.1,Control.Monad.Signatures,CorePrep,0.111
transformers-0.6.1.1,Control.Monad.Signatures,CoreTidy,0.092
transformers-0.6.1.1,Control.Monad.Signatures,CoreToStg,0.18
transformers-0.6.1.1,Control.Monad.Signatures,Demand analysis,0.12
transformers-0.6.1.1,Control.Monad.Signatures,Desugar,0.217
transformers-0.6.1.1,Control.Monad.Signatures,Exitification transformation,0.023
transformers-0.6.1.1,Control.Monad.Signatures,Float inwards,0.036000000000000004
transformers-0.6.1.1,Control.Monad.Signatures,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.103
transformers-0.6.1.1,Control.Monad.Signatures,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.072
transformers-0.6.1.1,Control.Monad.Signatures,Parser,1.534
transformers-0.6.1.1,Control.Monad.Signatures,Renamer/typechecker,1.096
transformers-0.6.1.1,Control.Monad.Signatures,Simplifier,0.756
transformers-0.6.1.1,Control.Monad.Signatures,Specialise,0.046
transformers-0.6.1.1,Control.Monad.Signatures,Worker Wrapper binds,0.02
transformers-0.6.1.1,Control.Monad.Trans.Accum,Called arity analysis,0.011
transformers-0.6.1.1,Control.Monad.Trans.Accum,CodeGen,91.888
transformers-0.6.1.1,Control.Monad.Trans.Accum,Common sub-expression,0.011
transformers-0.6.1.1,Control.Monad.Trans.Accum,Constructed Product Result analysis,0.228
transformers-0.6.1.1,Control.Monad.Trans.Accum,CorePrep,1.521
transformers-0.6.1.1,Control.Monad.Trans.Accum,CoreTidy,1.778
transformers-0.6.1.1,Control.Monad.Trans.Accum,CoreToStg,3.218
transformers-0.6.1.1,Control.Monad.Trans.Accum,Demand analysis,3.363
transformers-0.6.1.1,Control.Monad.Trans.Accum,Desugar,5.937
transformers-0.6.1.1,Control.Monad.Trans.Accum,Exitification transformation,0.019
transformers-0.6.1.1,Control.Monad.Trans.Accum,Float inwards,0.020999999999999998
transformers-0.6.1.1,Control.Monad.Trans.Accum,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",3.482
transformers-0.6.1.1,Control.Monad.Trans.Accum,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",3.375
transformers-0.6.1.1,Control.Monad.Trans.Accum,Parser,3.887
transformers-0.6.1.1,Control.Monad.Trans.Accum,Renamer/typechecker,13.222
transformers-0.6.1.1,Control.Monad.Trans.Accum,Simplifier,58.86
transformers-0.6.1.1,Control.Monad.Trans.Accum,Specialise,0.644
transformers-0.6.1.1,Control.Monad.Trans.Accum,Worker Wrapper binds,0.139
transformers-0.6.1.1,Control.Monad.Trans.Class,Called arity analysis,0.017
transformers-0.6.1.1,Control.Monad.Trans.Class,CodeGen,6.584
transformers-0.6.1.1,Control.Monad.Trans.Class,Common sub-expression,0.018
transformers-0.6.1.1,Control.Monad.Trans.Class,Constructed Product Result analysis,0.024
transformers-0.6.1.1,Control.Monad.Trans.Class,CorePrep,0.263
transformers-0.6.1.1,Control.Monad.Trans.Class,CoreTidy,0.185
transformers-0.6.1.1,Control.Monad.Trans.Class,CoreToStg,0.471
transformers-0.6.1.1,Control.Monad.Trans.Class,Demand analysis,0.16999999999999998
transformers-0.6.1.1,Control.Monad.Trans.Class,Desugar,0.317
transformers-0.6.1.1,Control.Monad.Trans.Class,Exitification transformation,0.021
transformers-0.6.1.1,Control.Monad.Trans.Class,Float inwards,0.037
transformers-0.6.1.1,Control.Monad.Trans.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.134
transformers-0.6.1.1,Control.Monad.Trans.Class,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.125
transformers-0.6.1.1,Control.Monad.Trans.Class,Parser,1.847
transformers-0.6.1.1,Control.Monad.Trans.Class,Renamer/typechecker,1.806
transformers-0.6.1.1,Control.Monad.Trans.Class,Simplifier,1.261
transformers-0.6.1.1,Control.Monad.Trans.Class,Specialise,0.058
transformers-0.6.1.1,Control.Monad.Trans.Class,Worker Wrapper binds,0.022
transformers-0.6.1.1,Control.Monad.Trans.Cont,Called arity analysis,0.021
transformers-0.6.1.1,Control.Monad.Trans.Cont,CodeGen,59.427
transformers-0.6.1.1,Control.Monad.Trans.Cont,Common sub-expression,0.034
transformers-0.6.1.1,Control.Monad.Trans.Cont,Constructed Product Result analysis,0.232
transformers-0.6.1.1,Control.Monad.Trans.Cont,CorePrep,1.363
transformers-0.6.1.1,Control.Monad.Trans.Cont,CoreTidy,1.552
transformers-0.6.1.1,Control.Monad.Trans.Cont,CoreToStg,3.967
transformers-0.6.1.1,Control.Monad.Trans.Cont,Demand analysis,2.474
transformers-0.6.1.1,Control.Monad.Trans.Cont,Desugar,1.12
transformers-0.6.1.1,Control.Monad.Trans.Cont,Exitification transformation,0.02
transformers-0.6.1.1,Control.Monad.Trans.Cont,Float inwards,0.038
