package,module,phase,time
unix-2.8.5.1,System.Posix,Called arity analysis,0.009
unix-2.8.5.1,System.Posix,CodeGen,0.739
unix-2.8.5.1,System.Posix,Common sub-expression,0.018
unix-2.8.5.1,System.Posix,Constructed Product Result analysis,0.02
unix-2.8.5.1,System.Posix,CorePrep,0.059
unix-2.8.5.1,System.Posix,CoreTidy,0.067
unix-2.8.5.1,System.Posix,CoreToStg,0.08
unix-2.8.5.1,System.Posix,Demand analysis,0.065
unix-2.8.5.1,System.Posix,Desugar,0.156
unix-2.8.5.1,System.Posix,Exitification transformation,0.014
unix-2.8.5.1,System.Posix,Float inwards,0.025
unix-2.8.5.1,System.Posix,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.037
unix-2.8.5.1,System.Posix,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",0.033
unix-2.8.5.1,System.Posix,Parser,1.807
unix-2.8.5.1,System.Posix,Renamer/typechecker,2.019
unix-2.8.5.1,System.Posix,Simplifier,0.436
unix-2.8.5.1,System.Posix,Specialise,0.019
unix-2.8.5.1,System.Posix,Worker Wrapper binds,0.022
unix-2.8.5.1,System.Posix.ByteString,Called arity analysis,0.013
unix-2.8.5.1,System.Posix.ByteString,CodeGen,0.906
unix-2.8.5.1,System.Posix.ByteString,Common sub-expression,0.009
unix-2.8.5.1,System.Posix.ByteString,Constructed Product Result analysis,0.013
unix-2.8.5.1,System.Posix.ByteString,CorePrep,0.065
unix-2.8.5.1,System.Posix.ByteString,CoreTidy,0.054
unix-2.8.5.1,System.Posix.ByteString,CoreToStg,0.097
unix-2.8.5.1,System.Posix.ByteString,Demand analysis,0.05
unix-2.8.5.1,System.Posix.ByteString,Desugar,0.286
unix-2.8.5.1,System.Posix.ByteString,Exitification transformation,0.01
unix-2.8.5.1,System.Posix.ByteString,Float inwards,0.020999999999999998
unix-2.8.5.1,System.Posix.ByteString,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",0.037
