package,module,phase,time
unordered-containers-0.2.20,Data.HashMap.Internal,Called arity analysis,0.012
unordered-containers-0.2.20,Data.HashMap.Internal,CodeGen,1349.632
unordered-containers-0.2.20,Data.HashMap.Internal,Common sub-expression,0.027
unordered-containers-0.2.20,Data.HashMap.Internal,Constructed Product Result analysis,14.275
unordered-containers-0.2.20,Data.HashMap.Internal,CorePrep,24.955
unordered-containers-0.2.20,Data.HashMap.Internal,CoreTidy,53.269
unordered-containers-0.2.20,Data.HashMap.Internal,CoreToStg,374.317
unordered-containers-0.2.20,Data.HashMap.Internal,Demand analysis,159.39600000000002
unordered-containers-0.2.20,Data.HashMap.Internal,Desugar,33.204
unordered-containers-0.2.20,Data.HashMap.Internal,Exitification transformation,0.021
unordered-containers-0.2.20,Data.HashMap.Internal,Float inwards,0.03
unordered-containers-0.2.20,Data.HashMap.Internal,Liberate case,0.017
unordered-containers-0.2.20,Data.HashMap.Internal,Parser,43.537
unordered-containers-0.2.20,Data.HashMap.Internal,Renamer/typechecker,314.151
unordered-containers-0.2.20,Data.HashMap.Internal,Simplifier,5669.7119999999995
unordered-containers-0.2.20,Data.HashMap.Internal,SpecConstr,49.725
unordered-containers-0.2.20,Data.HashMap.Internal,Specialise,22.388
unordered-containers-0.2.20,Data.HashMap.Internal,Worker Wrapper binds,5.515
unordered-containers-0.2.20,Data.HashMap.Internal.Array,Called arity analysis,0.011
unordered-containers-0.2.20,Data.HashMap.Internal.Array,CodeGen,97.88499999999999
unordered-containers-0.2.20,Data.HashMap.Internal.Array,Common sub-expression,0.023
unordered-containers-0.2.20,Data.HashMap.Internal.Array,Constructed Product Result analysis,0.667
unordered-containers-0.2.20,Data.HashMap.Internal.Array,CorePrep,2.49
unordered-containers-0.2.20,Data.HashMap.Internal.Array,CoreTidy,2.291
unordered-containers-0.2.20,Data.HashMap.Internal.Array,CoreToStg,13.597999999999999
unordered-containers-0.2.20,Data.HashMap.Internal.Array,Demand analysis,6.182
unordered-containers-0.2.20,Data.HashMap.Internal.Array,Desugar,5.858
