package,module,total_time,parser_time,parser_percentage,size,extension
vector-0.13.1.0,Data.Vector,10000.479,24.118,0.2411684480313393,66746,.hs
vector-0.13.1.0,Data.Vector.Fusion.Bundle,4381.490000000001,7.522,0.1716767583630226,16942,.hs
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Monadic,7529.369000000001,50.513,0.6708795916364305,40117,.hs
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Size,130.944,2.051,1.5663184261974588,4186,.hs
vector-0.13.1.0,Data.Vector.Fusion.Stream.Monadic,16.180999999999997,0.072,0.4449663185217231,556,.hs
vector-0.13.1.0,Data.Vector.Fusion.Util,22.890000000000004,0.728,3.180428134556574,1094,.hs
vector-0.13.1.0,Data.Vector.Generic,10710.463,39.237,0.36634270619300024,90301,.hs
vector-0.13.1.0,Data.Vector.Generic.Base,28.369,1.097,3.866896964997004,5440,.hs
vector-0.13.1.0,Data.Vector.Generic.Mutable,3454.2189999999996,16.173,0.4682100353220221,44510,.hs
vector-0.13.1.0,Data.Vector.Generic.Mutable.Base,65.69500000000001,2.343,3.5664814673871676,5440,.hs
vector-0.13.1.0,Data.Vector.Generic.New,457.984,2.437,0.5321146590273896,6256,.hs
vector-0.13.1.0,Data.Vector.Internal.Check,133.759,2.774,2.0738791408428594,4113,.hs
vector-0.13.1.0,Data.Vector.Mutable,1194.3120000000001,9.752,0.8165370522945428,44510,.hs
vector-0.13.1.0,Data.Vector.Primitive,7132.5250000000015,17.693,0.2480608199760954,60348,.hs
vector-0.13.1.0,Data.Vector.Primitive.Mutable,1454.877,8.678,0.5964765406285205,23039,.hs
vector-0.13.1.0,Data.Vector.Storable,9177.391,16.227,0.17681495754076512,64600,.hs
vector-0.13.1.0,Data.Vector.Storable.Internal,11.754999999999999,1.149,9.774564015312635,1648,.hs
vector-0.13.1.0,Data.Vector.Storable.Mutable,2040.749,9.251,0.45331395482736975,29071,.hs
vector-0.13.1.0,Data.Vector.Unboxed,8615.288999999999,26.741,0.31039005191816554,63687,.hs
vector-0.13.1.0,Data.Vector.Unboxed.Base,6833.129999999999,65.537,0.9591065880496933,32558,.hs
vector-0.13.1.0,Data.Vector.Unboxed.Mutable,1024.931,6.499,0.6340914656693962,19533,.hs
