package,module,phase,time
vector-0.13.1.0,Data.Vector,Called arity analysis,0.01
vector-0.13.1.0,Data.Vector,CodeGen,1350.906
vector-0.13.1.0,Data.Vector,Common sub-expression,0.027999999999999997
vector-0.13.1.0,Data.Vector,Constructed Product Result analysis,21.242
vector-0.13.1.0,Data.Vector,CorePrep,31.168
vector-0.13.1.0,Data.Vector,CoreTidy,30.657
vector-0.13.1.0,Data.Vector,CoreToStg,299.372
vector-0.13.1.0,Data.Vector,Demand analysis,230.05
vector-0.13.1.0,Data.Vector,Desugar,84.718
vector-0.13.1.0,Data.Vector,Exitification transformation,0.013
vector-0.13.1.0,Data.Vector,Float inwards,0.019
vector-0.13.1.0,Data.Vector,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",45.283
vector-0.13.1.0,Data.Vector,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",157.679
vector-0.13.1.0,Data.Vector,Liberate case,0.011
vector-0.13.1.0,Data.Vector,Parser,24.118
vector-0.13.1.0,Data.Vector,Renamer/typechecker,190.815
vector-0.13.1.0,Data.Vector,Simplifier,7437.091
vector-0.13.1.0,Data.Vector,SpecConstr,82.684
vector-0.13.1.0,Data.Vector,Specialise,9.38
vector-0.13.1.0,Data.Vector,Worker Wrapper binds,5.235
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Called arity analysis,0.01
vector-0.13.1.0,Data.Vector.Fusion.Bundle,CodeGen,1014.8910000000001
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Common sub-expression,0.033
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Constructed Product Result analysis,7.401
vector-0.13.1.0,Data.Vector.Fusion.Bundle,CorePrep,69.478
vector-0.13.1.0,Data.Vector.Fusion.Bundle,CoreTidy,28.204
vector-0.13.1.0,Data.Vector.Fusion.Bundle,CoreToStg,167.161
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Demand analysis,71.386
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Desugar,1.149
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Exitification transformation,0.014
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Float inwards,0.024
vector-0.13.1.0,Data.Vector.Fusion.Bundle,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False})",30.848
vector-0.13.1.0,Data.Vector.Fusion.Bundle,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True})",82.567
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Liberate case,0.013
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Parser,7.522
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Renamer/typechecker,44.955
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Simplifier,2747.596
vector-0.13.1.0,Data.Vector.Fusion.Bundle,SpecConstr,65.861
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Specialise,30.55
vector-0.13.1.0,Data.Vector.Fusion.Bundle,Worker Wrapper binds,11.827
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Monadic,Called arity analysis,0.012
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Monadic,CodeGen,2224.244
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Monadic,Common sub-expression,0.031
vector-0.13.1.0,Data.Vector.Fusion.Bundle.Monadic,Constructed Product Result analysis,17.434
